timepoint,AV.1,B.1.1.7,B.1.1,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,P.1,B.1.526,C.37,P.3,P.2,others,sample_name,tool_name
1,0.19,,0.25,0.02,,0.09,,0.19,0.03,,0.18,0.02,,0.02,lcs_vcfc2f02-1,lcs_vcfc2f02
107,0.15,0.04,0.3,0.07,,0.08,,0.1,,,0.24,,,0.03,lcs_vcfc2f02-107,lcs_vcfc2f02
122,0.09,0.03,0.4,0.04,,0.03,,0.15,0.02,,0.2,0.03,,0.02,lcs_vcfc2f02-122,lcs_vcfc2f02
137,0.08,,0.45,,,0.02,,0.08,0.04,,0.29,,,0.04,lcs_vcfc2f02-137,lcs_vcfc2f02
153,0.13,,0.42,,,0.02,,0.09,0.03,,0.27,,,0.04,lcs_vcfc2f02-153,lcs_vcfc2f02
16,0.03,,0.12,,,0.11,,0.26,0.06,,0.38,0.01,,0.02,lcs_vcfc2f02-16,lcs_vcfc2f02
168,0.09,0.02,0.45,0.04,,,,0.16,0.02,,0.18,0.02,,0.03,lcs_vcfc2f02-168,lcs_vcfc2f02
183,0.15,,0.14,,,,,0.11,0.11,,0.31,,0.15,0.04,lcs_vcfc2f02-183,lcs_vcfc2f02
198,0.04,0.02,0.47,0.05,,0.02,0.04,0.14,0.03,,0.16,,,0.03,lcs_vcfc2f02-198,lcs_vcfc2f02
213,0.03,0.01,0.37,,,0.08,,0.08,0.07,0.08,0.23,0.02,,0.03,lcs_vcfc2f02-213,lcs_vcfc2f02
229,0.15,,0.29,,,0.04,,0.11,0.02,0.13,0.22,,,0.04,lcs_vcfc2f02-229,lcs_vcfc2f02
244,0.13,,0.24,0.01,,0.05,,0.14,0.06,,0.3,0.04,,0.03,lcs_vcfc2f02-244,lcs_vcfc2f02
259,0.13,,0.31,,,0.02,,0.17,0.04,,0.3,0.02,,0.03,lcs_vcfc2f02-259,lcs_vcfc2f02
274,0.12,0.02,0.51,0.07,,0.01,,0.03,0.02,,0.19,0.02,,0.02,lcs_vcfc2f02-274,lcs_vcfc2f02
289,0.11,,0.33,0.06,,0.02,,0.23,0.03,,0.17,0.02,,0.04,lcs_vcfc2f02-289,lcs_vcfc2f02
305,0.06,0.01,0.46,,0.01,0.06,,0.07,0.02,,0.26,0.02,,0.03,lcs_vcfc2f02-305,lcs_vcfc2f02
31,0.03,0.05,0.58,,,0.01,,0.14,,,0.09,0.06,,0.03,lcs_vcfc2f02-31,lcs_vcfc2f02
320,0.2,0.01,0.22,0.06,,0.13,,0.09,0.04,,0.18,0.05,,0.02,lcs_vcfc2f02-320,lcs_vcfc2f02
335,0.15,0.03,0.41,0.06,,0.05,,0.06,0.04,,0.18,,,0.02,lcs_vcfc2f02-335,lcs_vcfc2f02
350,0.04,0.03,0.51,,,0.1,,0.05,0.02,,0.21,0.02,,0.02,lcs_vcfc2f02-350,lcs_vcfc2f02
366,0.07,,0.39,0.04,,0.03,,0.09,0.03,,0.31,,,0.04,lcs_vcfc2f02-366,lcs_vcfc2f02
46,0.13,,0.42,0.02,,,,0.09,0.01,,0.29,0.01,,0.02,lcs_vcfc2f02-46,lcs_vcfc2f02
61,0.04,,0.6,,,,,0.1,0.03,,0.18,0.01,,0.03,lcs_vcfc2f02-61,lcs_vcfc2f02
77,0.13,0.02,0.29,,,0.04,,0.13,0.07,,0.28,,,0.05,lcs_vcfc2f02-77,lcs_vcfc2f02
92,0.07,0.02,0.41,,,,0.01,0.06,0.02,,0.35,0.03,,0.03,lcs_vcfc2f02-92,lcs_vcfc2f02
