timepoint,XBB.1.20,XBB.1.29,XBN,XBB.2.2,XBB.4,XBB.1.15,CA.2,BN.1.4.3,BM.5,BM.1.1.1,XBB.2.3.5,FY.4,XBB.2.3.11,XBB.1.28,XBB.3.4,XBB.2.3.6,XBB.1.16.2,XBB.1.36,FY.2,XBB.2.3.2,XBB.2.3.3,XBB.2.3.7,FT.1,XBB.1.25,XBB.1.22.2,XBB.1.5.59,XBB.1.5.40,XBB.1.5.58,EK.4,GA.2,XBB.1.5.43,XBB.1.34,XBB.1.5.23,XBB.1.5.2,EU.1,EK.3,XBB.2.3,XBB.1.5.62,XBB.1.38,XBB.3.3,XBB.1.11,BA.2.38.1,FL.4,FL.8,XBB.2.5,XBB.1.4.1,XBB.1.9,XBB,EL.1,FL.2.1,XBB.1.5.44,FY.1,XBB.1.9.3,EG.2,XBB.1.5.69,XBB.1.22,EG.4,FL.9,XBB.1.5.57,FL.10,XBB.1.9.5,XBB.1.5.16,XBB.1.5.63,XBB.1.5.11,XBB.1.9.4,XBB.1.5.34,XBB.6,AY.121,B.1.177.55,XBB.1.5.3,FE.1,EG.1.3,XBB.1.5.54,BN.1.3.10,XBB.1.9.1,XBB.1.5.21,XBB.1.5,BA.2.12.1,XBB.1.16.6,XBB.1.5.33,XBB.1.5.18,B.1.640.2,FU.1,XBB.1.16.1,XBB.1.16,BQ.1.1.35,BA.5.2.25,AY.43.8,B.1.177.83,B.1.1.367,BA.2.75.10,XBB.1.5.47,CH.1.1.17,XBB.1.5.35,B.1.1.54,XBP,BQ.1.2.2,BQ.1.1.59,CH.1.1.26,XBB.1.5.14,B.1.470,BA.1.18,B.1.210,BF.24,AY.63,B.1.8,BA.4.8,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.08,,,0.02,,,,0.01,,,,0.03,,0.45,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.32,vlq_vd04ad36-1,vlq_vd04ad36
107,,0.02,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,0.05,,0.01,,0.15,,0.01,,,,,0.01,0.02,,,,,0.01,,,,,,,,,,,,0.01,,,,0.13,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,vlq_vd04ad36-107,vlq_vd04ad36
122,,0.02,,,,0.02,,,,,,,,0.01,0.02,,,0.01,,,,,0.01,,0.01,0.04,0.02,,,0.01,,,0.04,0.01,,,,0.04,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.05,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,0.11,,,,0.01,0.01,,,,,,,,,,,0.52,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,,,,,,,0.01,,,0.02,0.01,,,,,,,,0.01,,,0.01,,0.02,0.01,0.01,0.18,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,0.06,,,,0.03,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,,,0.01,,,0.01,,,,,0.02,0.02,,,0.04,,,,,,,,0.02,,,,,0.24,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,,0.03,,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,vlq_vd04ad36-153,vlq_vd04ad36
16,,0.01,,,,,,,,,0.01,,,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,0.14,0.01,,,0.03,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.06,,,0.01,,,,,,,,,,,,,0.39,vlq_vd04ad36-16,vlq_vd04ad36
168,0.04,,,,0.08,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,0.17,,0.01,0.01,,0.01,,0.02,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,0.02,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,0.41,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,0.02,,,,0.01,,,,,,,,0.01,,,,,,0.01,,,0.02,,0.02,0.01,0.01,,0.02,,,,,,,0.01,,,,0.01,,,0.02,,0.01,0.01,0.01,,,,,,,,,,0.02,,,,,,,0.02,,,0.02,,,,,0.07,,,,,,,,,,,0.08,,,,,,,,0.01,,,,,,,,0.57,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,,,,,,0.01,,0.02,,0.02,,,,,0.02,,0.02,,,,,,,,,,,,,0.02,,0.4,,0.02,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.43,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,0.01,,,0.01,,0.01,,,,0.02,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,vlq_vd04ad36-213,vlq_vd04ad36
