timepoint,XBB,XBB.1,XBB.1.16,XBB.1.5,XBB.1.9,XBB.1.9.2,XBB.2.3,others,sample_name,tool_name
31,0.12,0.37,,0.51,,,,0.0,vaquero_v24d9211-31,vaquero_v24d9211
77,0.24,0.27,,0.49,,,,0.0,vaquero_v24d9211-77,vaquero_v24d9211
168,,,,0.96,,,,0.04,vaquero_v24d9211-168,vaquero_v24d9211
183,0.03,,,0.93,,,,0.03,vaquero_v24d9211-183,vaquero_v24d9211
198,0.48,,,,,,0.49,0.03,vaquero_v24d9211-198,vaquero_v24d9211
213,0.05,,,,,,0.92,0.03,vaquero_v24d9211-213,vaquero_v24d9211
229,,,,,,,0.97,0.03,vaquero_v24d9211-229,vaquero_v24d9211
244,,,,,,,0.97,0.03,vaquero_v24d9211-244,vaquero_v24d9211
259,,,,,,,0.97,0.03,vaquero_v24d9211-259,vaquero_v24d9211
274,,,,,,,0.97,0.03,vaquero_v24d9211-274,vaquero_v24d9211
289,0.1,,,,,,0.88,0.03,vaquero_v24d9211-289,vaquero_v24d9211
305,0.16,0.27,0.39,,,,0.18,0.0,vaquero_v24d9211-305,vaquero_v24d9211
320,,,0.96,,,,,0.04,vaquero_v24d9211-320,vaquero_v24d9211
335,0.16,,0.52,,0.14,0.17,,0.0,vaquero_v24d9211-335,vaquero_v24d9211
350,0.25,0.25,0.51,,,,,0.0,vaquero_v24d9211-350,vaquero_v24d9211
366,0.17,0.33,0.5,,,,,0.0,vaquero_v24d9211-366,vaquero_v24d9211
