timepoint,XBB,XBB.1,XBB.1.16,XBB.1.9.1,XBB.2.3,others,sample_name,tool_name
198,0.45,,,,0.51,0.04,vaquero_v24d9211-198,vaquero_v24d9211
213,0.04,,,,0.93,0.03,vaquero_v24d9211-213,vaquero_v24d9211
229,,,,,0.97,0.03,vaquero_v24d9211-229,vaquero_v24d9211
244,0.02,,,,0.94,0.03,vaquero_v24d9211-244,vaquero_v24d9211
259,,,,,0.97,0.03,vaquero_v24d9211-259,vaquero_v24d9211
274,0.01,,,,0.96,0.03,vaquero_v24d9211-274,vaquero_v24d9211
289,,,,0.1,0.86,0.04,vaquero_v24d9211-289,vaquero_v24d9211
305,0.16,0.16,0.46,,0.22,0.0,vaquero_v24d9211-305,vaquero_v24d9211
320,,,0.96,,,0.04,vaquero_v24d9211-320,vaquero_v24d9211
335,0.16,0.33,0.51,,,0.0,vaquero_v24d9211-335,vaquero_v24d9211
350,0.15,0.33,0.52,,,0.0,vaquero_v24d9211-350,vaquero_v24d9211
366,0.02,,0.96,,,0.03,vaquero_v24d9211-366,vaquero_v24d9211
