timepoint,XBB.2.3,B.47,B,XBB.1.16,B.11,XBB.2.3.14,JS.1,XBB.2.3.15,XBB.1.5,XBB.2.3.11,XBB.1.4,XBB.2.4,XBB.1.9,XBB.1.22,B.56,XBB.2,XBB.1,XBB,XBB.1.11,XBB.2.3.3,XBB.1.37,XBB.1.9.5,XBB.1.5.24,XBB.1.16.26,XBB.1.16.3,XBB.1.5.43,XBB.1.28,others,sample_name,tool_name
1,,,,,0.01,,,,,,,,0.97,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-1,freyja_v1.5.3
16,,,0.02,,,,,,,,,,0.97,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-16,freyja_v1.5.3
31,,,0.02,,,,,,,,,,0.97,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-31,freyja_v1.5.3
46,,,0.02,,,,,,,,,,0.97,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-46,freyja_v1.5.3
61,,0.01,0.01,,,,,,,,,,0.97,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-61,freyja_v1.5.3
77,,,0.02,,,,,,,,,,0.96,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-77,freyja_v1.5.3
92,,,0.01,,,,,,,,,,0.33,0.15,0.01,,,,,,0.15,0.33,,,,,,0.01,freyja_v1.5.3-92,freyja_v1.5.3
107,,,,,0.01,,,,,,,0.77,0.18,0.02,,,,,,,,,,,,,,0.02,freyja_v1.5.3-107,freyja_v1.5.3
122,,,0.02,,0.01,,,,0.47,,,,,,,,,,,,,,,,,0.47,0.01,0.01,freyja_v1.5.3-122,freyja_v1.5.3
137,,,0.03,,,,,,0.97,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-137,freyja_v1.5.3
153,,,0.01,,0.01,,,,0.96,,,,,,,,,,,,0.01,,,,,,,0.01,freyja_v1.5.3-153,freyja_v1.5.3
168,,,,,0.01,,,,,,,0.97,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-168,freyja_v1.5.3
183,,,0.03,,,,,,0.42,0.05,,0.02,,,,0.02,,,,,0.05,,0.42,,,,,0.0,freyja_v1.5.3-183,freyja_v1.5.3
198,,,0.03,,,,,,,0.47,,,,,,0.17,0.17,0.17,,,,,,,,,,0.0,freyja_v1.5.3-198,freyja_v1.5.3
213,,,0.01,,,,0.45,0.45,0.03,0.02,0.01,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-213,freyja_v1.5.3
229,,,0.02,,,,,,,0.49,,,,,,,,,,0.49,,,,,,,,0.01,freyja_v1.5.3-229,freyja_v1.5.3
244,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-244,freyja_v1.5.3
259,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-259,freyja_v1.5.3
274,0.97,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-274,freyja_v1.5.3
289,,,,0.03,,,,,,0.05,,,,,,,,,,0.83,,,,0.03,0.03,,,0.03,freyja_v1.5.3-289,freyja_v1.5.3
305,,,0.03,0.35,,,,,,0.25,,,,,,,,,,,,,,0.35,,,,0.02,freyja_v1.5.3-305,freyja_v1.5.3
320,,,0.01,0.95,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,0.01,freyja_v1.5.3-320,freyja_v1.5.3
335,,,0.01,0.97,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-335,freyja_v1.5.3
350,,,,0.97,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-350,freyja_v1.5.3
366,,,0.03,0.97,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-366,freyja_v1.5.3
