timepoint,BM.2.1,XBB.1.29,BR.5,XBN,XBB.2.5,XBB.1.4.1,XBB.1.9,XBB.2.8,BM.5,BR.3,BG.5,BF.23,BA.2.36,B.1.429,EL.1,FL.2.1,FY.3,XBB.2.3.5,XBB.2.3.8,XBB.2.3.11,XBB.1.28,GE.1,XBB.3.4,XBB.1.36,XBB.1.5.42,XBB.2.3.2,XBB.2.3.3,XBB.2.3.7,FT.1,XBB.1.25,EG.2,XBB.1.5.59,XBB.1.5.40,XBB.1.22,EK.4,EG.4,EU.1.1,XBB.1.34,XBB.1.5.23,XBB.2.3,XBB.1.5.62,XBB.1.19,XBB.1.5.63,XBB.1.5.11,XBB.1.38,BA.5.1.1,BU.2,XBB.3.2,XBB,BM.3,XBB.6,B.1.1,XBB.1.16.2,FY.2,FY.1,XBB.1.37.1,XBB.1.9.3,GA.2,XBB.1.5.57,EU.1,EK.3,XBB.1.5.12,XBB.1.5.52,EM.1,XBB.1.5.19,XBB.1.9.4,XBB.1.30,XAK,BY.1.1.1,BA.2.42,XBB.1.16.6,XBB.1.16.5,XBB.1.16,XBB.1.5.1,XBB.1.3,XBB.1.14,DM.1,AY.30,EG.1.3,CJ.1.1,B.1.8,FL.10,XBB.1.5.36,XBB.1.5.60,BQ.1.16,BA.2.13.1,XBB.1.5.31,XBB.1.5.69,XBB.1.5.43,XBB.1.5.16,XBB.1.5.46,FL.3.2,BQ.1.1.66,XBB.2.9,FG.2,XBB.1.5.18,BA.1.10,FL.3.1,XBB.1.9.1,XBB.1.5.37,XBB.1.5.14,BA.1.1.10,FE.1,XBB.1.5.49,AY.79,FD.3,XBB.1.5.21,EU.1.1.1,AY.127.1,XBB.1.13,CH.1.1.27,AY.8,BA.5.1.28,BQ.1.30,BE.4.1,BA.2.66,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,0.02,,,,,,,,,,,,0.01,0.01,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.35,vlq_vd04ad36-1,vlq_vd04ad36
107,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.03,,,,,,,,,0.04,,,,,,,,,,,,,0.01,0.02,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.08,,,,,0.07,,,,,,0.06,0.02,0.01,,,,,,,,,,0.52,vlq_vd04ad36-107,vlq_vd04ad36
122,,0.05,,,,,,0.01,,,,,,,,,,,,,0.02,,0.01,0.05,,,,,,,,,0.02,0.02,,,,,0.02,,,,,,0.14,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,0.12,,,,,,,,,,,,,,,,,,,,0.01,,0.46,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,0.02,,,,,,,0.01,,,,,,,,,0.02,,0.01,,,,,,,,,,,0.01,,,,,,,0.02,,0.03,0.09,,,,,,,,,,,,,,,0.02,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,0.01,,0.02,,,,,0.03,,,,0.09,0.02,0.04,0.02,0.01,,,,,,,,,,,,,0.49,vlq_vd04ad36-137,vlq_vd04ad36
153,,,0.03,0.01,,0.01,,,0.02,0.01,0.01,0.01,,,0.02,,,,,,0.01,,0.02,0.01,,,,,0.02,,,,,0.02,,,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.03,0.04,,,,,,0.63,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,0.02,,,,,,,,,,,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,0.02,,0.01,,,,,,0.34,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,0.01,,,,,,,,,,,,0.02,0.02,0.01,,0.03,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,,,,0.01,0.01,,,0.01,,,0.01,,,,,,,,,,0.02,,,,,,,,,,,,0.09,,0.02,,,,,0.06,0.02,0.02,,,,,,,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,0.01,,,0.01,,,,,,0.05,,0.01,,,,,,,,,,,0.01,0.02,,,,0.01,,,,0.24,,,,,,,,,,,,0.01,,,,,0.01,,0.02,0.03,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,0.02,,,,,,,0.01,,,,,,0.01,,,,,0.01,0.01,,0.04,,0.1,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.03,,0.01,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,vlq_vd04ad36-198,vlq_vd04ad36
213,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.02,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.26,vlq_vd04ad36-213,vlq_vd04ad36
