timepoint,XBB.1.9,B,XBB.1.37,XBB.1.16.20,XBB.1.16,B.11,XBB.1.5,XBB.1.16.26,XBB.2,XBB.1,XBB,XBB.2.3.11,XBB.1.22,XBB.1.16.3,XBB.2.3.6,BA.2.73,BA.2.37,BA.2.23,B.20,XBB.2.3.10,GE.1,B.56,XBB.1.9.5,B.1.23,XBB.2.4,XBB.2.3.3,XBB.1.16.23,XBB.1.5.43,XBB.1.5.24,XBB.1.7,XBB.1.45,XBB.1.39,B.6.3,others,sample_name,tool_name
1,0.97,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-1,freyja_v2.0.0
16,0.97,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-16,freyja_v2.0.0
31,0.97,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-31,freyja_v2.0.0
46,0.48,0.02,,,,,,,,,,,,,,,,,,,,,0.48,0.01,,,,,,,,,,0.01,freyja_v2.0.0-46,freyja_v2.0.0
61,0.97,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-61,freyja_v2.0.0
77,0.96,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-77,freyja_v2.0.0
92,0.8,0.02,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-92,freyja_v2.0.0
107,0.09,0.02,,,,,,,,,,,,,,,,,,,,,0.09,,0.77,,,,,,,,,0.03,freyja_v2.0.0-107,freyja_v2.0.0
122,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.95,0.01,0.02,freyja_v2.0.0-122,freyja_v2.0.0
137,,,0.03,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-137,freyja_v2.0.0
153,,,,,,0.01,,,,,,,,,,0.48,0.48,0.02,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-153,freyja_v2.0.0
168,,0.02,,,,,,,0.04,0.04,0.04,,,,,,,,,,,,,,0.85,,,,,,,,,0.01,freyja_v2.0.0-168,freyja_v2.0.0
183,,,,,,,0.29,,,,,0.05,,,,,,,,,,,,,,,,0.29,0.29,0.04,,,,0.03,freyja_v2.0.0-183,freyja_v2.0.0
198,,0.03,,,,,0.05,,,,,0.23,,,,,,,,,,,,,,0.24,,,,,0.45,,,0.01,freyja_v2.0.0-198,freyja_v2.0.0
213,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.04,0.92,,,,,,,,0.02,freyja_v2.0.0-213,freyja_v2.0.0
229,,0.02,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-229,freyja_v2.0.0
244,,0.02,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-244,freyja_v2.0.0
259,,0.02,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-259,freyja_v2.0.0
274,,0.02,,,,,,,,,,0.29,,,,,,,,0.39,0.29,0.02,,,,,,,,,,,,0.0,freyja_v2.0.0-274,freyja_v2.0.0
289,,0.02,,,0.05,,,,,,,0.06,,,,,,,,,,,,,,0.8,0.05,,,,,,,0.02,freyja_v2.0.0-289,freyja_v2.0.0
305,,,,,0.71,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v2.0.0-305,freyja_v2.0.0
320,,,,0.48,0.48,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-320,freyja_v2.0.0
335,,0.02,,,0.49,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-335,freyja_v2.0.0
350,,0.03,,,0.49,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-350,freyja_v2.0.0
366,,0.02,,,0.49,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-366,freyja_v2.0.0
