timepoint,XBB,XBB.1,XBB.1.16,XBB.1.9,XBB.1.9.2,others,sample_name,tool_name
1,,,,0.97,,0.03,vaquero_v93e7db3-1,vaquero_v93e7db3
16,,0.02,,0.96,,0.02,vaquero_v93e7db3-16,vaquero_v93e7db3
31,,,,0.97,,0.03,vaquero_v93e7db3-31,vaquero_v93e7db3
46,,,,0.96,,0.04,vaquero_v93e7db3-46,vaquero_v93e7db3
61,,,,0.97,,0.03,vaquero_v93e7db3-61,vaquero_v93e7db3
77,0.02,,,0.95,,0.03,vaquero_v93e7db3-77,vaquero_v93e7db3
92,0.05,0.14,,0.62,0.17,0.03,vaquero_v93e7db3-92,vaquero_v93e7db3
107,0.22,0.22,,,0.46,0.11,vaquero_v93e7db3-107,vaquero_v93e7db3
122,,0.97,,,,0.03,vaquero_v93e7db3-122,vaquero_v93e7db3
137,,0.02,,0.02,0.94,0.02,vaquero_v93e7db3-137,vaquero_v93e7db3
168,0.04,0.04,,0.04,0.84,0.03,vaquero_v93e7db3-168,vaquero_v93e7db3
183,0.19,0.16,,0.16,0.48,0.0,vaquero_v93e7db3-183,vaquero_v93e7db3
244,0.17,0.17,,0.17,0.49,0.0,vaquero_v93e7db3-244,vaquero_v93e7db3
259,0.48,0.48,,,,0.03,vaquero_v93e7db3-259,vaquero_v93e7db3
289,0.5,,0.07,,0.42,0.01,vaquero_v93e7db3-289,vaquero_v93e7db3
305,0.38,0.16,0.46,,,0.0,vaquero_v93e7db3-305,vaquero_v93e7db3
320,0.25,0.25,0.49,,,0.0,vaquero_v93e7db3-320,vaquero_v93e7db3
335,0.15,0.24,0.62,,,0.0,vaquero_v93e7db3-335,vaquero_v93e7db3
350,0.15,0.34,0.51,,,0.0,vaquero_v93e7db3-350,vaquero_v93e7db3
366,,,0.98,,,0.02,vaquero_v93e7db3-366,vaquero_v93e7db3
