timepoint,BA.5.9,BW.1.1.1,XBN,XBB.2.5,XBB.2.2,BN.1.2.1,BM.3,BR.3,BA.5.6.4,BF.23,BA.2.60,XBB.2.3.5,XBB.2.3.11,XBB.1.28,XBB.1.5.10,XBB.1.16.3,XBB.3.4,XBB.1.16.5,FU.1,XBB.1.16.2,XBB.2.3.2,XBB.2.3.3,XBB.2.3.7,FT.1,XBB.1.9.3,XBB.1.19.1,XBB.1.5.59,XBB.1.22,EK.4,XBB.1.16,EU.1.1,XBB.1.5.23,FL.9,XBB.1.5.57,XBB.2.3,XBB.1.5.62,XBB.1.5.63,BA.2.3.22,XBB.1.5,CH.1.1.12,XBB.1.38,XBB.1.20,XBB.1.3,XBB.1.29,XBB.1.15,BA.4.6.3,XBB.6,AY.23.2,BA.2.71,FY.3,XBB.1.5.44,FY.4,FL.6,EG.5,FW.1,XBB.2.3.6,XBB.1.36,FE.1,FG.2,XBB.1.5.40,EU.1.1.1,EG.4,XBB.1.5.54,EU.1,XBB.1.5.12,XBB.1.5.5,FD.4,BN.1.3.10,XBB.1.5.48,XBB.1.5.19,XBB.1.5.46,CH.1.1.7,XBB.1.35,BA.2.38.1,BS.1.1,BM.1.1.1,BA.2.2,XBB.1.25,EG.2,FK.1.2,EK.3,BQ.1.1.38,DL.1,XBB.1.39,BQ.1.1.21,CL.1,EL.1,XBB.1.22.2,XBB.1.7,XBB.1.9,XBB.2.3.8,XBB.1.5.6,XBB.1.5.37,XBB.1.5.14,BR.5,XBB.1.16.6,XBB.1.5.3,XBB.1.5.43,XBB.1.5.16,XBB.1.5.20,XBB.1.9.4,BQ.1.1.60,BF.21,EG.1.4,FL.8,XBB.1.4,BN.1.2,XBB.1.5.69,EJ.2,AY.122,XBB.1.5.60,B.1.438,FL.10,BR.2,XBB.1.16.1,B.1.1.286,BQ.1.20,FR.1,FG.3,BQ.1.1.62,XBB.1,BF.28,B.1.367,B.1.530,ET.1,B.1.415.1,B.1.1.300,BA.1.16.2,ER.1.1,others,sample_name,tool_name
1,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.49,,,,,,,,,,,0.02,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-1,vlq_vd04ad36
107,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,0.01,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,0.01,0.09,0.05,,0.11,,,,,,,,,,,,,,,,,,,,,,0.58,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,0.01,,,,,,,,,,,0.06,,,,,,,,,0.02,,,,,,,,,,,,0.08,0.02,,0.02,,,0.01,,0.02,0.02,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.01,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,0.07,,,0.03,,,,,,,,,,,0.43,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,,,,,,,,0.01,,,,,0.04,,,0.01,,,,0.01,,,,0.01,,,,,,,,,,,,,0.02,,,0.03,,,0.05,,,,,,,,,,,0.01,,,,,,,,,0.03,,0.03,,,,0.01,,,,,0.01,,,,,,,,,,,,,,0.01,0.02,0.13,,,0.01,0.03,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,,,0.01,,,0.01,,,0.02,,,,,0.01,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.02,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,0.01,,,0.11,,,,,,,,,,,,,,,,,,,,,,0.15,,0.02,,,,,,,,0.57,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,,,,,0.02,,,,0.02,,,,,,,,0.01,,,,,0.05,,,,,,,,0.04,,,0.02,0.04,,,,,0.67,vlq_vd04ad36-16,vlq_vd04ad36
168,,0.01,0.02,,,,,0.01,,,,0.01,,,,,0.03,,,,,,,0.02,,0.01,0.01,,,,,,,,,0.01,,,0.01,0.01,0.05,,,,0.01,,,,,0.02,,,,,,,,0.02,,,0.01,,0.09,0.02,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.05,,,,,0.04,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.14,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.59,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,,,,,,,0.01,,0.02,,,,,,,,0.02,,,,,,,,,,,,,0.14,,,,,,,,,,,,,0.01,,,0.01,,,,,0.02,,,,0.04,,,,,,,,,,,0.02,,,,,,,,,,0.03,,,,,,0.02,,,,,,,,,,,,,0.02,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,0.63,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,0.02,,0.02,0.06,,,,0.02,,,,0.03,0.02,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-213,vlq_vd04ad36
