timepoint,XBB,XBB.1,XBB.1.16,XBB.1.5,XBB.1.9.1,XBB.2.3,others,sample_name,tool_name
16,0.25,0.25,,0.5,,,0.0,vaquero_v24d9211-16,vaquero_v24d9211
153,,,,0.97,,,0.03,vaquero_v24d9211-153,vaquero_v24d9211
198,0.48,,,,,0.49,0.03,vaquero_v24d9211-198,vaquero_v24d9211
213,0.04,,,,,0.93,0.03,vaquero_v24d9211-213,vaquero_v24d9211
229,,,,,,0.98,0.02,vaquero_v24d9211-229,vaquero_v24d9211
244,,,,,,0.97,0.03,vaquero_v24d9211-244,vaquero_v24d9211
274,,,,,,0.97,0.03,vaquero_v24d9211-274,vaquero_v24d9211
289,,,,,0.1,0.87,0.03,vaquero_v24d9211-289,vaquero_v24d9211
305,0.18,0.14,0.45,,,0.23,0.0,vaquero_v24d9211-305,vaquero_v24d9211
320,,,0.96,,,,0.04,vaquero_v24d9211-320,vaquero_v24d9211
335,0.15,0.34,0.51,,,,0.0,vaquero_v24d9211-335,vaquero_v24d9211
350,0.18,0.18,0.63,,,,0.0,vaquero_v24d9211-350,vaquero_v24d9211
366,,,0.97,,,,0.03,vaquero_v24d9211-366,vaquero_v24d9211
