timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.01,,,,,0.99,virpool_v763c212-1,virpool_v763c212
16,0.06,,0.08,,0.49,0.36,virpool_v763c212-16,virpool_v763c212
31,0.04,,0.15,,,0.8,virpool_v763c212-31,virpool_v763c212
46,,,,,0.1,0.9,virpool_v763c212-46,virpool_v763c212
61,0.12,,,0.15,,0.73,virpool_v763c212-61,virpool_v763c212
77,0.11,,,,,0.89,virpool_v763c212-77,virpool_v763c212
92,,,,,,1.0,virpool_v763c212-92,virpool_v763c212
107,,,0.44,,,0.56,virpool_v763c212-107,virpool_v763c212
122,0.37,,0.2,,,0.43,virpool_v763c212-122,virpool_v763c212
137,0.01,,,,,0.99,virpool_v763c212-137,virpool_v763c212
153,0.24,,0.14,,,0.62,virpool_v763c212-153,virpool_v763c212
168,,,0.2,,,0.8,virpool_v763c212-168,virpool_v763c212
183,0.01,,,,,0.99,virpool_v763c212-183,virpool_v763c212
198,0.05,,,,,0.95,virpool_v763c212-198,virpool_v763c212
213,0.05,,,,,0.95,virpool_v763c212-213,virpool_v763c212
229,0.05,,,,,0.95,virpool_v763c212-229,virpool_v763c212
244,0.07,,,,,0.93,virpool_v763c212-244,virpool_v763c212
259,0.03,,0.49,,,0.48,virpool_v763c212-259,virpool_v763c212
274,0.04,,,,,0.96,virpool_v763c212-274,virpool_v763c212
289,0.13,,,,,0.87,virpool_v763c212-289,virpool_v763c212
305,,0.02,,,,0.98,virpool_v763c212-305,virpool_v763c212
320,0.01,,,,,0.99,virpool_v763c212-320,virpool_v763c212
335,0.18,0.29,,,,0.53,virpool_v763c212-335,virpool_v763c212
350,0.03,0.07,0.35,,0.13,0.42,virpool_v763c212-350,virpool_v763c212
366,,,0.02,,,0.98,virpool_v763c212-366,virpool_v763c212
