timepoint,AV.1,B.1.1.7,B.1.1,B.1.1.318,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.525,P.1,B.1.526,C.37,P.3,others,sample_name,tool_name
1,0.02,,0.27,0.02,0.08,,0.05,,0.04,0.02,0.02,,0.46,0.01,0.02,lcs_vcfc2f02-1,lcs_vcfc2f02
107,,0.07,0.45,,0.05,0.02,,,0.13,,0.06,,0.18,0.01,0.02,lcs_vcfc2f02-107,lcs_vcfc2f02
122,,0.01,0.49,,,,,,0.05,,0.04,,0.25,0.14,0.02,lcs_vcfc2f02-122,lcs_vcfc2f02
137,0.07,0.03,,,0.03,,0.05,,0.3,,0.07,,0.38,0.06,0.02,lcs_vcfc2f02-137,lcs_vcfc2f02
153,0.07,0.08,,,,0.02,,0.12,0.33,,0.07,,0.28,,0.04,lcs_vcfc2f02-153,lcs_vcfc2f02
16,0.01,,0.51,,0.08,,0.01,,0.05,,0.04,,0.2,0.08,0.03,lcs_vcfc2f02-16,lcs_vcfc2f02
168,,,0.34,,,0.15,,,0.15,,0.09,,0.23,,0.04,lcs_vcfc2f02-168,lcs_vcfc2f02
183,0.1,,0.2,0.02,,,0.12,,0.11,,0.02,,0.28,0.12,0.02,lcs_vcfc2f02-183,lcs_vcfc2f02
198,0.21,,0.31,,,,0.04,,0.11,,0.01,,0.21,0.09,0.02,lcs_vcfc2f02-198,lcs_vcfc2f02
213,0.01,,0.71,,0.04,,0.01,,,,0.01,0.01,0.16,0.02,0.03,lcs_vcfc2f02-213,lcs_vcfc2f02
229,0.07,0.01,0.46,,,0.02,0.01,0.06,0.07,,,0.04,0.22,,0.04,lcs_vcfc2f02-229,lcs_vcfc2f02
244,0.08,,0.17,,,,,0.21,0.3,,,,0.22,0.01,0.02,lcs_vcfc2f02-244,lcs_vcfc2f02
259,0.07,,0.64,,,,,,0.01,,0.01,,0.21,,0.05,lcs_vcfc2f02-259,lcs_vcfc2f02
274,0.25,,0.46,,,,,,0.06,,0.02,,0.15,,0.06,lcs_vcfc2f02-274,lcs_vcfc2f02
289,0.06,,0.19,0.02,,,0.02,,0.19,,,,0.31,0.2,0.02,lcs_vcfc2f02-289,lcs_vcfc2f02
305,0.12,0.01,0.53,,,,0.13,,0.02,,,,0.16,,0.04,lcs_vcfc2f02-305,lcs_vcfc2f02
31,0.27,,,,,,0.13,,0.1,,0.07,,0.39,,0.04,lcs_vcfc2f02-31,lcs_vcfc2f02
320,0.1,,0.66,,,,,,,,0.01,,0.19,,0.04,lcs_vcfc2f02-320,lcs_vcfc2f02
335,,,0.38,,,,0.28,,,,0.01,,0.27,,0.06,lcs_vcfc2f02-335,lcs_vcfc2f02
350,0.13,,0.2,,,0.02,0.1,,0.18,,0.08,,0.26,,0.03,lcs_vcfc2f02-350,lcs_vcfc2f02
366,0.1,,0.66,0.03,,,,,,,,,0.12,0.03,0.06,lcs_vcfc2f02-366,lcs_vcfc2f02
46,0.02,,0.58,,,,,,0.07,,0.01,,0.27,,0.05,lcs_vcfc2f02-46,lcs_vcfc2f02
61,,0.01,0.69,0.01,,0.04,,,0.05,,0.01,,0.14,0.02,0.01,lcs_vcfc2f02-61,lcs_vcfc2f02
77,0.14,,0.51,,,,,,0.2,,0.01,,0.07,0.05,0.01,lcs_vcfc2f02-77,lcs_vcfc2f02
92,0.17,0.02,0.36,,,,0.06,,0.07,,0.02,,0.26,,0.04,lcs_vcfc2f02-92,lcs_vcfc2f02
