timepoint,XBB.1.5.34,XBB.1.3,XBB.1.29,XBB.2.5,XBB.1.4.1,XBB.1.9,XBB.1.15,BQ.1.1.21,XBB,BN.1.2.1,XBB.6,BA.2.67,B.1.470,B.1.597,EL.1,FY.3,XBB.2.3.5,FY.4,XBB.2.3.11,FL.6,XBB.1.28,FU.2,XBB.3.4,FW.1,XBB.1.16.2,FE.1.2,XBB.1.36,FY.2,XBB.1.5.3,FT.1,XBB.1.25,XBB.1.9.3,EG.2,EK.4,GA.2,EG.4,EU.1.1,XBB.1.5.23,FL.9,XBB.2.3.9,BY.1.1,EG.1.1,XBB.2.3.1,EU.1,FL.10,XBB.1.5.5,XBB.1.9.5,XBB.1.5.62,XBB.1.5.63,XBB.1.5.19,XBB.1.5,CH.1.1.12,XBB.1.32,XBB.1.18,XBB.1.38,XBB.1.9.4,BM.2.1,BF.23,BA.2.39,FL.2.1,XBB.2.3.8,XBB.2.3.6,XBB.2.3.2,XBB.2.3.3,XBB.2.3.7,XBB.2.3,BA.2.28,BQ.1.1.47,BM.5,BG.1,BA.2.9.7,XBB.1.16.6,XBB.1.5.10,FY.1,XBB.2.9,XBB.1.5.30,XBB.1.16,EK.3,FD.4,XBK.1,BQ.1.1.38,CH.1.1.9,BQ.1.26.2,BE.11,XBB.1.16.1,XBB.1.22,EU.1.1.1,XBB.1.17.1,EG.1.3,XBB.1.5.54,DV.4,XBB.1.5.57,XBB.1.5.12,XBB.1.5.21,DL.1,BF.11.3,B.1.117,XBB.1.37.1,FL.12,XBB.1.5.16,BA.2.38.2,XBB.1.5.1,BA.5.2.57,XBB.1.16.5,XBB.1.5.59,XBB.1.7,ET.1,FU.1,XBB.1.11,BN.1.3.10,CH.1.1.27,EK.2,BQ.1.16,B.1.1.481,FG.2,BL.1.2,XBB.1.5.6,BR.1.1,BQ.1.1.3,C.37,B.1.1.487,DH.1,CV.2,BZ.2,FD.3,BA.2.3.5,B.1.1.50,B.1.177.67,B.1.588,others,sample_name,tool_name
1,,,,0.01,,0.13,,0.01,,,,,,0.01,,,,,,,,,,0.01,,0.01,,,,,0.01,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.54,vlq_vd04ad36-1,vlq_vd04ad36
107,,0.03,,,0.01,,,,,,0.25,,,,,,,,,0.17,,,,,,,,,,,0.01,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,0.02,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.39,vlq_vd04ad36-107,vlq_vd04ad36
122,,,0.01,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,0.05,,,0.04,,0.23,,,0.03,0.01,0.01,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.5,vlq_vd04ad36-122,vlq_vd04ad36
137,,,0.03,,,,0.04,,,,0.02,,,,,,,,0.01,,,,0.02,,0.01,,0.01,,0.01,0.03,0.02,,,,,,,,,,,,,0.01,,,,0.04,,,,,,0.01,0.02,,,,,,,0.01,,,,,,,0.01,,,,,,0.13,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,0.5,vlq_vd04ad36-137,vlq_vd04ad36
153,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,0.01,,0.01,,,0.02,,,,,,,,,,,0.01,,,,0.07,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.25,,,,,,,,,0.02,0.02,,,,,0.51,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.36,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,0.19,vlq_vd04ad36-16,vlq_vd04ad36
168,,,0.02,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,0.02,,,,,,0.01,,0.02,,,,,,,,,,,,,0.29,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,vlq_vd04ad36-168,vlq_vd04ad36
183,,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,0.02,,,,,,,,,,,0.01,,,0.02,,0.04,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.01,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,,,,,,,,,,,,0.01,,,,0.02,,0.02,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.03,,,,,,,0.01,0.06,,,,,,,,,,,,,,,,,,,0.46,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,0.01,,,,,,,,,0.02,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.31,,,,,,,0.02,0.11,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-213,vlq_vd04ad36
