timepoint,B.1.1.529,BA.2,XBB,XBB.1.16,others,sample_name,tool_name
1,0.53,,0.47,,0.0,lollipop_v0.3.0-1,lollipop_v0.3.0
16,0.85,,0.15,,0.0,lollipop_v0.3.0-16,lollipop_v0.3.0
31,0.89,0.11,,,0.0,lollipop_v0.3.0-31,lollipop_v0.3.0
46,0.9,0.1,,,0.0,lollipop_v0.3.0-46,lollipop_v0.3.0
61,0.88,,0.12,,0.0,lollipop_v0.3.0-61,lollipop_v0.3.0
77,0.87,0.13,,,0.0,lollipop_v0.3.0-77,lollipop_v0.3.0
92,0.83,,0.17,,0.0,lollipop_v0.3.0-92,lollipop_v0.3.0
107,0.93,,0.07,,0.0,lollipop_v0.3.0-107,lollipop_v0.3.0
122,0.89,0.06,0.05,,0.0,lollipop_v0.3.0-122,lollipop_v0.3.0
137,0.89,,0.11,,0.0,lollipop_v0.3.0-137,lollipop_v0.3.0
153,0.88,0.12,,,0.0,lollipop_v0.3.0-153,lollipop_v0.3.0
168,0.88,,0.12,,0.0,lollipop_v0.3.0-168,lollipop_v0.3.0
183,0.86,,0.14,,0.0,lollipop_v0.3.0-183,lollipop_v0.3.0
198,0.89,0.11,,,0.0,lollipop_v0.3.0-198,lollipop_v0.3.0
213,0.88,,0.12,,0.0,lollipop_v0.3.0-213,lollipop_v0.3.0
229,0.89,0.05,0.05,,0.0,lollipop_v0.3.0-229,lollipop_v0.3.0
244,0.89,0.11,,,0.0,lollipop_v0.3.0-244,lollipop_v0.3.0
259,0.91,,0.09,,0.0,lollipop_v0.3.0-259,lollipop_v0.3.0
274,0.87,,0.13,,0.0,lollipop_v0.3.0-274,lollipop_v0.3.0
289,0.89,0.11,,,0.0,lollipop_v0.3.0-289,lollipop_v0.3.0
305,0.92,0.08,,,0.0,lollipop_v0.3.0-305,lollipop_v0.3.0
320,0.87,,,0.13,0.0,lollipop_v0.3.0-320,lollipop_v0.3.0
335,0.85,,,0.15,0.0,lollipop_v0.3.0-335,lollipop_v0.3.0
350,0.89,,,0.11,0.0,lollipop_v0.3.0-350,lollipop_v0.3.0
366,0.89,,0.05,0.06,0.0,lollipop_v0.3.0-366,lollipop_v0.3.0
