timepoint,BA.1,XBB,XBB.1,XBB.1.16,XBB.1.5,XBB.2.3,others,sample_name,tool_name
137,0.97,,,,,,0.03,vaquero_v24d9211-137,vaquero_v24d9211
183,,0.05,0.05,,0.87,,0.03,vaquero_v24d9211-183,vaquero_v24d9211
198,,0.45,,,,0.51,0.04,vaquero_v24d9211-198,vaquero_v24d9211
213,,0.03,,,,0.94,0.03,vaquero_v24d9211-213,vaquero_v24d9211
229,,,,,,0.97,0.03,vaquero_v24d9211-229,vaquero_v24d9211
244,,,,,,0.97,0.03,vaquero_v24d9211-244,vaquero_v24d9211
259,,,,,,0.97,0.03,vaquero_v24d9211-259,vaquero_v24d9211
274,,,,,,0.96,0.04,vaquero_v24d9211-274,vaquero_v24d9211
289,,0.1,,,,0.87,0.03,vaquero_v24d9211-289,vaquero_v24d9211
305,,0.18,0.18,0.43,,0.22,0.0,vaquero_v24d9211-305,vaquero_v24d9211
320,,0.19,0.3,0.5,,,0.0,vaquero_v24d9211-320,vaquero_v24d9211
335,,0.24,0.25,0.51,,,0.0,vaquero_v24d9211-335,vaquero_v24d9211
350,,0.18,0.32,0.5,,,0.0,vaquero_v24d9211-350,vaquero_v24d9211
366,,0.25,0.25,0.5,,,0.0,vaquero_v24d9211-366,vaquero_v24d9211
