timepoint,A.23.1,AV.1,B.1.1.7,B.1.1,B.1.1.318,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.525,P.1,C.37,P.3,others,sample_name,tool_name
1,,,0.06,,,,,0.19,,0.33,,,0.34,0.05,0.03,lcs_vcfc2f02-1,lcs_vcfc2f02
107,,0.24,,,,,,0.23,,0.28,,0.01,0.18,0.03,0.02,lcs_vcfc2f02-107,lcs_vcfc2f02
122,,0.08,,0.6,0.01,0.06,,,,0.07,,,0.13,,0.04,lcs_vcfc2f02-122,lcs_vcfc2f02
137,,0.01,0.01,0.49,,,,0.06,,0.06,,,0.31,0.02,0.03,lcs_vcfc2f02-137,lcs_vcfc2f02
153,,0.11,,0.14,,,0.01,0.12,,0.23,,0.05,0.27,0.06,0.03,lcs_vcfc2f02-153,lcs_vcfc2f02
16,0.01,0.1,,0.32,,,,0.04,,0.25,,,0.25,,0.03,lcs_vcfc2f02-16,lcs_vcfc2f02
168,,0.02,,0.28,0.08,,,0.19,,0.22,,0.05,0.13,,0.04,lcs_vcfc2f02-168,lcs_vcfc2f02
183,,0.08,,0.68,,,,,,0.08,0.01,0.03,0.08,,0.04,lcs_vcfc2f02-183,lcs_vcfc2f02
198,,0.03,,0.5,,0.1,,,,,,0.01,0.32,,0.04,lcs_vcfc2f02-198,lcs_vcfc2f02
213,,0.29,,0.2,,,0.02,0.09,,0.09,,0.03,0.17,0.09,0.03,lcs_vcfc2f02-213,lcs_vcfc2f02
229,,0.06,0.03,0.46,0.08,0.01,,0.09,,0.16,,0.03,0.05,,0.04,lcs_vcfc2f02-229,lcs_vcfc2f02
244,,,0.01,0.42,,,0.03,0.01,,0.19,,0.01,0.28,0.02,0.03,lcs_vcfc2f02-244,lcs_vcfc2f02
259,,0.08,,0.45,0.01,,0.05,0.05,,0.02,,0.06,0.23,,0.04,lcs_vcfc2f02-259,lcs_vcfc2f02
274,,0.2,,0.54,,,,0.04,,0.06,,0.03,0.07,0.02,0.04,lcs_vcfc2f02-274,lcs_vcfc2f02
289,,0.01,,0.73,0.02,,,0.02,,0.07,,0.01,0.12,,0.03,lcs_vcfc2f02-289,lcs_vcfc2f02
305,,0.16,,0.66,,0.08,,0.01,,,,0.01,0.05,0.01,0.03,lcs_vcfc2f02-305,lcs_vcfc2f02
31,,0.01,0.01,0.53,,,,0.16,,0.14,,,0.1,0.01,0.03,lcs_vcfc2f02-31,lcs_vcfc2f02
320,,0.17,,0.2,,,0.08,,0.06,0.2,,0.02,0.23,,0.04,lcs_vcfc2f02-320,lcs_vcfc2f02
335,,0.26,0.04,0.2,,,,,,0.05,,0.05,0.3,0.08,0.02,lcs_vcfc2f02-335,lcs_vcfc2f02
350,0.01,0.12,0.02,0.28,0.01,,0.02,0.14,,0.05,,0.04,0.3,0.02,0.0,lcs_vcfc2f02-350,lcs_vcfc2f02
366,,0.09,,0.38,,,,0.08,,0.04,,0.03,0.33,0.01,0.03,lcs_vcfc2f02-366,lcs_vcfc2f02
46,,0.06,,0.37,0.01,,,0.03,,0.06,,0.07,0.37,0.02,0.01,lcs_vcfc2f02-46,lcs_vcfc2f02
61,,0.04,,0.46,0.11,,,0.03,,0.03,,0.01,0.29,0.01,0.02,lcs_vcfc2f02-61,lcs_vcfc2f02
77,,0.24,0.03,0.33,,,,,,0.11,,0.07,0.18,0.02,0.02,lcs_vcfc2f02-77,lcs_vcfc2f02
92,,0.05,0.14,0.3,,,0.03,,,0.09,,0.02,0.34,,0.04,lcs_vcfc2f02-92,lcs_vcfc2f02
