timepoint,B.1.1.529,others,sample_name,tool_name
1,0.98,0.02,quaid_vaec47270-1,quaid_vaec47270
16,0.97,0.03,quaid_vaec47270-16,quaid_vaec47270
31,0.98,0.02,quaid_vaec47270-31,quaid_vaec47270
61,0.72,0.28,quaid_vaec47270-61,quaid_vaec47270
77,0.62,0.38,quaid_vaec47270-77,quaid_vaec47270
92,0.97,0.03,quaid_vaec47270-92,quaid_vaec47270
107,0.68,0.32,quaid_vaec47270-107,quaid_vaec47270
122,0.98,0.02,quaid_vaec47270-122,quaid_vaec47270
183,0.99,0.01,quaid_vaec47270-183,quaid_vaec47270
229,0.98,0.02,quaid_vaec47270-229,quaid_vaec47270
305,0.99,0.01,quaid_vaec47270-305,quaid_vaec47270
320,0.98,0.02,quaid_vaec47270-320,quaid_vaec47270
