timepoint,BN.1.3.5,XBB.1.29,CH.1.1.25,XBB.2.2,BQ.1.1.21,XBB.2.8,BN.1.2.1,BM.1.1.1,BR.1.2,XBB.3,BA.2.67,XBB.2.3.11,EK.2.1,FW.1,XBB.1.36,FY.2,XBF.10,XBB.2.3.2,XBB.2.3.3,XBB.1.16.1,XBB.2.3.7,XBB.1.22.2,EK.4,EG.4,XBB.1.5.23,XBB.2.3.9,XBB.1.5.57,XBB.2.3.1,EU.1,CH.1.1.22,FD.4,CN.2,XBB.1.5.52,XBB.1.19,XBB.1.5.63,XBB.1.5.19,XBK.1,BN.1.10,CH.1.1.6,XBB.1.38,BA.2.38.1,BA.5.9,B.1.1.529,BS.1.1,BM.2.1,CM.7,BW.1.1.1,XBB.1.4.1,BQ.1.1.47,BN.3,XBB,BN.1,BA.2.9.7,BA.2.60,BA.2.3.6,BA.1.1.14,B.1.1.44,XBB.1.16.6,XBB.2.3.5,XBB.2.3.8,EG.5,XBB.1.16.3,FU.1,XBB.1.16.2,XBB.1.25,GA.2,XBB.2.7.1,XBB.1.16,EU.1.1,FL.9,FK.1.2,BQ.1.25.1,EP.2,XBS,CH.1.1.12,AY.84,B.1.1.294,BQ.1.26.2,XBN,XBB.2.5,XBB.4,XBB.1.9,XBB.1.15,CT.1,BN.1.4.3,BQ.1.1.26,BM.3,BF.7.2,BA.2.75.10,BA.2.42,BA.2.54,BA.1,BA.1.16,B.1.1.500,XBB.1.21,EL.1,FY.3,FY.4,XBB.1.28,XBB.1.5.10,XBB.3.4,FE.1.2,FT.1,FD.1.1,XBB.1.22,EU.1.1.1,XBB.1.33,FN.1,XBB.1.34,XBB.1.5.2,BY.1.1,XBB.1.5.16,BN.1.3,BF.23,BA.2.8,XBB.2.3.6,XBB.1.9.3,XBB.2.3,BQ.1.27,XBB.1.5.62,XBC.1.2.1,XBB.1.18,XBB.1.35,XBB.1.11,B.1.618,XBB.1.3,BA.2.10.3,FL.2.1,XCC,FL.12,FL.10,XBB.1.9.2,EG.3,XBB.1.9.4,BF.32,BM.1.1.3,BA.2.20,BA.5.5.3,EG.2,XBB.1.5.40,FL.8,XBB.1.5.61,EG.1.1,GB.1,EK.3,XBB.1.5.6,B.1.1.148,XBB.2.9,B.1.177.82,XBB.1.5.69,B.1.1.165,XBB.1.5.9,XBB.8.1,XBB.1.17.2,XBB.8,DY.4,XBB.2.3.10,BE.6,XBB.1.5.54,FL.2.2,XBB.1.5.60,others,sample_name,tool_name
1,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,0.04,,0.02,,,0.01,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-1,vlq_vd04ad36
107,,0.02,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,,0.04,,0.02,,,,,,,,,,,,,,0.1,,,0.01,0.04,,0.02,,0.01,0.02,,,,,,,,,,,,,,0.11,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,0.01,,,0.44,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,0.02,,,,,,0.05,,,,,,,,,0.02,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.02,,0.43,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.04,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,0.03,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.03,0.08,,,,0.22,,,0.02,,,,,,,,,0.47,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,,0.02,,0.02,0.02,,,,,,,,,,,,,,0.01,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,,0.07,,,,0.09,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,0.24,,,,,,,,,,,,,,0.41,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,0.06,0.36,0.16,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,0.02,,0.02,0.02,,,,,,,0.01,,,,0.03,,,,,,,,0.02,,,,,,,,,,,,,0.01,,0.01,,0.01,,,,,,0.02,,,,0.01,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,0.01,,0.02,0.01,,,,0.01,,,,0.01,0.01,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,vlq_vd04ad36-168,vlq_vd04ad36
183,,0.01,0.01,,,,,,0.01,,0.01,,,,,,,,,,0.03,,,0.01,,,,,,,,,,,,,,,0.01,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-183,vlq_vd04ad36
198,,0.02,,,0.01,,,,0.01,,,,,,,,,,0.21,,,,,,,,,,,,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.58,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,,,,,,,,0.32,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.23,vlq_vd04ad36-213,vlq_vd04ad36
