timepoint,XBB.1.9,XBB.1.9.5,XBB.1.25,XBB.1.30,XBB.3.5,XBB.2.8,XBB.3,XBB.8,XBB.2,XBB.1,XBB,XBB.1.5.23,XBB.6.1,XBB.2.4,XBB.2.3.3,XBB.2.3.2,XBB.2.3,FY.3,FY.1,XBB.1.22.1,XBB.1.22,B.6.6,XBB.1.5.43,XBB.1.24,B.11,XBB.2.3.10,XBB.2.3.11,GE.1,B.1.1.45,XBB.1.16.5,BA.2.76,BA.2.57,BA.2.73,XBB.2.3.6,XBB.2.3.5,XBB.2.3.4,XBB.2.3.7,XBB.1.16.3,XBB.1.16.4,XBB.1.4,XBB.1.5.4,XBB.1.13,XBB.2.7,XBB.1.36,XBB.2.6,XBB.1.18.1,XBB.1.5.24,XBB.1.11.1,XBB.1.35,XBB.1.38,XBB.1.7,B.1.500,EU.1,XBB.1.5.3,XBB.1.5.33,XBB.1.5.55,XBB.1.5.7,XBB.1.24.1,XBB.2.1,XBB.1.5,XBB.3.4,XBB.1.5.2,XBB.1.3,XBB.2.5,XBB.6,XBB.4,XBB.1.5.18,XBB.1.5.35,XBB.1.5.42,XBB.1.5.62,XBB.1.5.65,XBB.1.5.19,XBB.1.5.37,XBB.1.5.48,XBB.1.5.25,XBB.1.5.6,XBB.1.5.49,XBB.1.5.56,XBB.1.5.17,XBB.1.5.9,FG.2,FG.3,XBB.1.5.38,XBB.1.5.10,EM.1,XBB.1.5.59,XBB.1.5.52,XBB.1.5.67,XBB.1.5.11,XBB.1.5.63,XBB.1.5.40,XBB.1.5.36,XBB.1.5.16,XBB.1.5.28,XBB.1.5.1,FU.1,XBB.1.16.1,others,sample_name,tool_name
1,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-1,freyja_v1.4.3
16,0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-16,freyja_v1.4.3
31,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-31,freyja_v1.4.3
46,0.97,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-46,freyja_v1.4.3
61,,,,,,,,,,,,,,,,,,0.24,0.24,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-61,freyja_v1.4.3
77,0.32,0.32,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-77,freyja_v1.4.3
92,0.4,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-92,freyja_v1.4.3
107,0.07,,,0.01,,0.01,0.01,,0.01,0.01,0.01,,,0.01,,,,,,0.07,0.07,,0.01,0.01,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,0.01,,,,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.03,freyja_v1.4.3-107,freyja_v1.4.3
122,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-122,freyja_v1.4.3
137,,,,,,,,,,,,,,0.32,,,,,,,,,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-137,freyja_v1.4.3
