timepoint,XBB.1.9.5,XBB.1.9,XBB.1.25,XBB.1.30,XBB.1.32,XBB.1.35,XBB.3.5,XBB.1.45,XBB.2.8,XBB.8,XBB.3,XBB.2,XBB.1,XBB,GJ.4,XBB.2.3.2,XBB.2.3.3,XBB.6.1,XBB.1.5.23,XBB.1.5,XBB.2.4,XCE,B.6.3,B.6.6,XBB.1.24,XBB.1.5.110,XBB.1.5.43,B.11,XBB.2.3.10,GE.1,XBB.2.3.11,B.1.1.45,XBB.1.16.26,XBB.1.16.5,XBB.1.16.14,XBB.1.16.22,XBB.1.16.23,XBB.1.16.10,XBB.1.16.19,XBB.1.16,BA.2.76.1,BA.2.76,BA.2.57,BA.2.73,XBB.2.3.22,XBB.2.3.5,XBB.2.3.4,XBB.2.3.12,XBB.2.3.6,XBB.2.3.7,XBB.1.16.8,XBB.1.16.7,XBB.1.16.4,XBB.1.16.12,XBB.1.16.3,XBB.1.16.20,XBB.1.16.18,XBB.1.4,B.6.1,XBB.1.36,XBB.1.43,XBB.1.13,XBB.2.7,XBB.2.3,XBB.2.3.13,GJ.7,XBB.2.3.19,XBB.2.3.14,FP.4,XBB.1.11.1,XBB.2.9,XBB.1.5.24,XBB.1.18.1,XBB.1.16.31,XBB.1.16.9,HH.4,XBB.1.46,XBB.1.39,XBB.1.44,XBB.1.29,XBB.1.38,XBB.1.22,GJ.3,HH.7,EU.1,B.1.500,XBB.2.3.9,JA.1,FY.5.1,FY.8,FY.5,XBB.1.22.1,XBB.1.16.11,FU.1,XBB.1.16.17,XBB.1.16.1,others,sample_name,tool_name
1,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-1,freyja_v2.0.0
16,0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-16,freyja_v2.0.0
31,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-31,freyja_v2.0.0
46,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-46,freyja_v2.0.0
61,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-61,freyja_v2.0.0
77,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-77,freyja_v2.0.0
92,0.4,0.4,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-92,freyja_v2.0.0
107,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.03,0.03,0.03,0.03,,,,,0.8,freyja_v2.0.0-107,freyja_v2.0.0
122,,,,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-122,freyja_v2.0.0
137,,,,,,,,,,,,,,,,,,,,0.19,0.19,,,,0.19,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-137,freyja_v2.0.0
153,,,,,,,,,,,,,,,,,,,,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-153,freyja_v2.0.0
168,,,,0.11,,,,,,,,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,0.11,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-168,freyja_v2.0.0
183,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,freyja_v2.0.0-183,freyja_v2.0.0
198,,,,,,,,,,,,,,,0.16,0.16,0.16,0.12,0.12,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-198,freyja_v2.0.0
213,,,,,,,,,,,,,,,,0.1,0.1,,,,0.04,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,0.1,0.1,0.01,0.01,,,,,,,,,,,0.01,freyja_v2.0.0-213,freyja_v2.0.0
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,0.14,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-229,freyja_v2.0.0
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,,,,,,,,,,,,,,,0.11,0.11,0.11,,,,,,,,,,,,,,,,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,,,,,,,,,0.03,freyja_v2.0.0-244,freyja_v2.0.0
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.24,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-259,freyja_v2.0.0
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-274,freyja_v2.0.0
289,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,0.17,,0.01,,,,,,,0.01,,,,,0.17,0.17,0.17,0.17,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,0.01,0.01,0.01,0.03,freyja_v2.0.0-289,freyja_v2.0.0
