timepoint,XBB.1.18,XBB.1.7,XBB.1.38,B.1.1.216,XBB.1.9,XBB.1.9.5,B.11,B.1.1.529,XBB.2.3,XBB.1.16,XBB.2.3.11,XBB.2.4,BA.2.15,B.6.6,XBB.2.3.7,XBB.2.8,XBB.2,XBB.1,XBB,GE.1,XBB.2.3.10,B.1.189,FY.1,XBB.1.22,XBB.1.22.1,XBB.1.37,XBB.1.13,XBB.1.5.51,XBB.1.5.2,XBB.1.19,XBB.1.5,XBB.1.5.7,XBB.1.5.31,EM.1,XBB.1.5.18,XBB.1.5.33,XBB.1.5.35,XBB.1.5.30,XBB.1.5.12,XBB.1.5.36,XBB.1.5.63,XBB.1.5.52,XBB.1.18.1,XBB.1.5.69,XBB.1.5.24,XBB.2.6,XBB.2.7,XBB.1.3,XBB.1.5.59,XBB.1.5.14,XBB.1.5.3,XBB.1.5.28,XBB.1.5.16,XBB.1.5.40,BA.2.23,XBB.1.6,XBB.1.4,B.1.1.98,XBB.1.16.6,XBB.1.16.3,XBB.2.3.3,BA.2.75.6,BN.5,BA.2.75,BA.2.75.5,BN.2,XBB.1.35,FW.1,XBB.1.28,XBB.1.28.1,XBB.1.30,GD.1,XBB.1.9.3,FL.6,XBB.2.5,XBB.1.17,XBB.1.15,XBB.3,XBB.4,XBB.8,XBB.1.36,XBB.1.16.1,XBB.2.3.6,B.1.1.428,XAA,others,sample_name,tool_name
1,,,,,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-1,freyja_v1.4.3
16,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.28,0.11,,,,,,,,,,,,0.04,freyja_v1.4.3-16,freyja_v1.4.3
31,,,,,0.2,0.2,,,,,,,,,,,,,,,,,0.18,0.18,0.18,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-31,freyja_v1.4.3
46,,,,,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-46,freyja_v1.4.3
61,,,,,0.48,0.48,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-61,freyja_v1.4.3
77,0.32,0.32,0.32,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-77,freyja_v1.4.3
92,0.24,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-92,freyja_v1.4.3
107,,,,,0.1,0.1,0.01,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-107,freyja_v1.4.3
122,0.06,0.06,0.06,,,,,,0.06,,,0.06,,,,,0.06,0.06,0.06,,,,,0.06,,0.06,0.06,,,,,,,,,,,,,,,,0.06,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.06,,,,,,0.06,,,,,0.04,freyja_v1.4.3-122,freyja_v1.4.3
137,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-137,freyja_v1.4.3
153,,,,,,,,,,,,,,,,0.14,0.14,0.14,0.14,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,0.01,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-153,freyja_v1.4.3
168,,,,,,,,,,,,0.05,,,,0.05,0.05,0.05,0.05,,,,,,,0.05,0.05,,0.05,,0.05,,,,0.05,,,,,,,0.05,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-168,freyja_v1.4.3
183,,,,,,,,,,,0.04,,,,,0.22,0.22,0.22,0.22,0.04,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-183,freyja_v1.4.3
198,,,,,,,,,0.18,,0.28,,,0.01,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-198,freyja_v1.4.3
213,,,0.01,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-213,freyja_v1.4.3
229,,,,,,,,,,,0.21,,,,,,,,,0.21,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,0.18,0.01,0.01,0.02,freyja_v1.4.3-229,freyja_v1.4.3
244,,,,,,,,,,,,,,,,0.12,0.12,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,0.03,freyja_v1.4.3-244,freyja_v1.4.3
259,,,,,,,,,,,,,,,,,0.1,0.1,0.1,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,,,,,,0.03,freyja_v1.4.3-259,freyja_v1.4.3
274,,,,,,,,,,,,,,0.01,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-274,freyja_v1.4.3
289,,,,,,,,,0.86,0.08,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-289,freyja_v1.4.3
305,,,,,,,,,0.02,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.35,0.12,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-305,freyja_v1.4.3
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.4.3-320,freyja_v1.4.3
335,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,0.49,,,,0.0,freyja_v1.4.3-335,freyja_v1.4.3
350,,,,,,,,,,,,,0.87,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,freyja_v1.4.3-350,freyja_v1.4.3
366,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-366,freyja_v1.4.3
