timepoint,A.23.1,AV.1,B.1.1.7,B.1.1,B.1.1.318,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,P.1,C.37,P.3,others,sample_name,tool_name
1,,0.48,,0.13,,,0.14,0.07,,,0.12,0.03,,0.03,lcs_vcfc2f02-1,lcs_vcfc2f02
107,,,,0.44,,,0.01,,,0.47,,0.06,,0.02,lcs_vcfc2f02-107,lcs_vcfc2f02
122,,,,0.57,,,,,,0.04,,0.36,,0.03,lcs_vcfc2f02-122,lcs_vcfc2f02
137,0.01,,0.07,0.61,,,,,,0.11,,0.18,,0.02,lcs_vcfc2f02-137,lcs_vcfc2f02
153,,,0.15,0.38,0.22,,,,,0.06,0.03,0.15,,0.01,lcs_vcfc2f02-153,lcs_vcfc2f02
16,,,,,,0.09,,0.23,,0.37,0.02,0.26,,0.04,lcs_vcfc2f02-16,lcs_vcfc2f02
168,,0.34,,0.37,,,,,,,0.04,0.2,,0.04,lcs_vcfc2f02-168,lcs_vcfc2f02
183,,0.08,,0.78,,,,0.01,0.05,0.03,,0.03,,0.02,lcs_vcfc2f02-183,lcs_vcfc2f02
198,,,0.04,0.11,,,0.12,,0.03,0.22,0.12,0.34,,0.03,lcs_vcfc2f02-198,lcs_vcfc2f02
213,,,,0.57,,,0.08,,,,0.01,0.31,,0.02,lcs_vcfc2f02-213,lcs_vcfc2f02
229,,0.5,,,,,,0.02,,0.01,0.01,0.42,,0.03,lcs_vcfc2f02-229,lcs_vcfc2f02
244,,0.38,,0.46,,0.04,,,,0.06,,,0.02,0.05,lcs_vcfc2f02-244,lcs_vcfc2f02
259,,0.06,,0.16,0.03,,,0.23,,,0.03,0.43,0.04,0.02,lcs_vcfc2f02-259,lcs_vcfc2f02
274,,0.32,,0.51,,,,,,,0.01,0.11,,0.05,lcs_vcfc2f02-274,lcs_vcfc2f02
289,,0.04,,0.65,0.02,0.02,0.01,,,,0.08,0.14,0.02,0.02,lcs_vcfc2f02-289,lcs_vcfc2f02
305,,0.36,,0.59,,,0.03,,,,,,,0.02,lcs_vcfc2f02-305,lcs_vcfc2f02
31,,0.16,,0.62,,,0.14,,,,,0.02,0.01,0.03,lcs_vcfc2f02-31,lcs_vcfc2f02
320,,,0.02,0.38,0.22,,,0.03,,,,0.3,,0.05,lcs_vcfc2f02-320,lcs_vcfc2f02
335,,0.29,,0.55,,,,,,,0.01,0.09,0.02,0.03,lcs_vcfc2f02-335,lcs_vcfc2f02
350,,,,0.52,,,0.39,,,,,0.09,,0.01,lcs_vcfc2f02-350,lcs_vcfc2f02
366,,0.06,,0.57,,,,0.03,,,,0.3,,0.04,lcs_vcfc2f02-366,lcs_vcfc2f02
46,,,,0.69,,,,0.03,,0.04,0.08,0.12,,0.04,lcs_vcfc2f02-46,lcs_vcfc2f02
61,,,0.02,0.15,,,,,,0.11,,0.57,0.13,0.03,lcs_vcfc2f02-61,lcs_vcfc2f02
77,,,0.02,0.52,,,0.02,,,,,0.12,0.3,0.02,lcs_vcfc2f02-77,lcs_vcfc2f02
92,,0.16,,0.33,0.42,,0.02,,,,,0.02,0.02,0.03,lcs_vcfc2f02-92,lcs_vcfc2f02
