timepoint,FL.4,XBB.1.20,XBB.1.29,XBB.2.5,XBB.2.2,XBB.1.4.1,XBB.8,XBB.1.9,XBB.1.15,BF.11.3,XBB.6,BA.5.2.39,BA.2.9.7,BA.2.3.14,C.17,B.1.597,B.1.427,B.1.177.85,B.1.160.12,FL.2.1,FY.3,XBB.2.3.5,XBB.1.31,FY.4,XBB.2.3.11,XBB.1.5.50,XBB.1.28,GE.1,XBB.3.4,XBB.1.36,FY.2,FY.1,XBB.1.37.1,XBB.2.3.2,XBB.2.3.7,FT.1,XBB.1.25,EG.2,XBB.1.19.1,XBB.1.22,EK.4,EG.4,XBB.1.7,XBB.1.5.43,FL.9,XBB.2.3.9,BY.1.1,XBB.1.5.57,XBB.2.3.1,XBT,XBB.1.5.19,CH.1.1.12,XBB.1.32,XBB.1.18,XBB.1.35,XBB.1.38,XBB.1.11,CM.5.1,BF.41.1,BA.2.38.2,BA.2.10.3,B.1.525,B.1.177.38,FL.6,XBB.1.16.2,FE.1.2,XBB.1.9.3,FL.1.1,FD.1.1,XBB.1.5.69,XBB.1.5.40,XBB.2.7.1,XBB.1.16,XBB.1.5.23,EG.1.3,FH.1,EG.1.1,EU.1,XBB.1.9.5,FD.4,XBB.1.5.16,XBB.1.5.11,XBB.1.5,XBB.1.5.46,XBB.5,XBB.1.9.4,XBB.1.5.1,XBB.1.3,XBN,BQ.1.1.67,CB.1,P.1.7,BA.2.47,B.1.1.422,XBB.2.3.6,XBB.2.3.3,FD.3,FZ.1.1,GA.2,XBB.1.33,XBB.1.34,FD.1,XBB.1.5.54,XBB.1.5.51,XBB.8.1,FL.10,BQ.1.25.1,XBB.1.5.12,XBB.2.3,XBB.1.5.62,XBB.1.5.63,EL.1,XBB.1.16.6,XBB.1.16.1,BA.1.1.18,XBB.2.8,AY.23.2,B.1.1.333,FG.2,FL.5,EQ.1,BA.5.1.18,BA.2.3.4,XBB.1.5.59,EP.2,BA.2.80,XBB.1.5.61,XBB.1.17.2,XBB.1.9.2,XBB.1.5.52,EM.1,XBB.1.5.4,B.1.467,BQ.1.2.1,GB.1,XBB.1.5.14,B.1.168,XBB.1.5.18,XBB.1.5.35,B.1.36.24,others,sample_name,tool_name
1,,,,,,0.02,,0.15,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.24,vlq_vd04ad36-1,vlq_vd04ad36
107,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,0.02,,,,,0.01,,,,,,,,,,0.02,0.06,,,,,,,,,,,,,,0.01,,,,,0.05,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.09,,,,,,,,,0.06,,,,,,,,,,0.09,,0.01,0.07,,,,,,,,,0.4,vlq_vd04ad36-107,vlq_vd04ad36
122,0.08,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.03,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,0.02,,,,,0.05,,,,,0.14,,,,,,0.05,0.02,,,,,,,0.01,,,,,0.08,,,,,,,,,,,0.02,0.41,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,vlq_vd04ad36-137,vlq_vd04ad36
153,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,0.02,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,0.01,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,,0.31,,,,,0.03,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.02,,,,,,,0.02,,,,0.01,,,,,,,,0.02,,,,,0.03,,,,,,0.43,vlq_vd04ad36-16,vlq_vd04ad36
168,,,0.02,0.04,,,0.04,,,0.02,0.02,,,0.02,0.01,,0.01,,0.01,,,0.02,,0.02,0.03,,,,0.03,,0.03,,0.01,,,,0.03,,,,,,,,,0.02,,,,,,,0.02,,0.03,,0.04,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,0.03,,0.01,0.01,,,,,0.02,,,,,,,,,0.02,,0.03,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.06,0.02,0.07,,0.4,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,0.03,,,,,,,,,,,,,,,,,,,0.02,,,,,0.1,,,,0.02,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,0.01,,,,,,,,,,,0.04,,0.01,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.17,,0.03,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.43,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,0.01,,,,,,,,0.03,,,,,0.01,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.01,,,0.02,,,,,,,0.01,0.02,,,,0.01,,,0.01,,,0.02,,,,0.02,0.01,,,,,0.02,0.17,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-213,vlq_vd04ad36
