timepoint,XBB.1.25,BA.2.75.6,B.1.177.71,B.11,XBB.1.6,XBB.1.18,XBB.1.13,XBB.2.8,XBB.8,XBB.2,XBB.1,XBB,XBB.1.16.3,FU.2,XBB.1.16.6,XBB.1.16.1,B.1.1.438,XBB.1.16,FU.1,XBB.1.17,XBB.1.15,XBB.1.7,XBB.2.5,B.1.1.216,BA.2.23,XBB.2.3.6,XBB.2.3.2,XBB.2.3.3,XBB.2.3,XBB.2.3.11,XBB.2.4,XBB.1.16.4,GE.1,XBB.2.3.10,XBB.1.22,XBB.1.5.23,XBB.1.5.43,XBB.1.37,XBB.1.28.1,XBB.2.6,XBB.1.28,XBB.2.7,FW.2,XBB.1.35,XBB.1.30,XBB.1.9,B.6.6,XBB.1.9.3,GD.1,XBB.1.9.5,XBB.1.18.1,XBB.1.5.24,XBB.2.3.7,FW.1,XBB.1.29,XBB.1.38,XBB.1.5.4,B.1.379,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,0.24,0.24,0.24,,,,,,,,,0.03,freyja_v1.4.3-1,freyja_v1.4.3
16,,,,,,,0.09,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,0.09,,0.09,0.09,0.09,,0.09,,0.09,,0.09,,,,,,,,,0.09,,0.09,,,0.02,freyja_v1.4.3-16,freyja_v1.4.3
31,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,0.04,freyja_v1.4.3-31,freyja_v1.4.3
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-46,freyja_v1.4.3
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,0.33,,0.33,,,,,,,,,0.02,freyja_v1.4.3-61,freyja_v1.4.3
77,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.02,,,0.48,,,,,,,,,0.01,freyja_v1.4.3-77,freyja_v1.4.3
92,0.81,0.15,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-92,freyja_v1.4.3
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.09,,,,,,,0.78,0.03,0.01,freyja_v1.4.3-107,freyja_v1.4.3
122,,,,,,,0.11,0.11,,0.11,0.11,0.11,,,,,,,,0.11,0.11,0.11,0.11,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-122,freyja_v1.4.3
137,,,,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-137,freyja_v1.4.3
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.2,0.2,,,,,,,,,,,,,,0.2,0.2,,,,,,,0.02,freyja_v1.4.3-153,freyja_v1.4.3
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,0.32,0.32,,,,,,,,,,,,,,0.03,freyja_v1.4.3-168,freyja_v1.4.3
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-183,freyja_v1.4.3
198,,,,,,,,0.04,,0.04,0.04,0.04,,,,,,,,,,0.04,0.04,,,,,,0.47,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-198,freyja_v1.4.3
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.37,,,,,,,,,0.01,,0.01,,,,,,,,,,,,0.27,0.01,0.01,0.01,,,0.03,freyja_v1.4.3-213,freyja_v1.4.3
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-229,freyja_v1.4.3
244,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,0.32,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-244,freyja_v1.4.3
259,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.19,,0.21,,,0.21,0.19,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-259,freyja_v1.4.3
274,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.32,0.32,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-274,freyja_v1.4.3
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-289,freyja_v1.4.3
305,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,0.13,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,0.02,freyja_v1.4.3-305,freyja_v1.4.3
320,,,,,,,,,,,,,0.24,0.24,0.24,0.24,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-320,freyja_v1.4.3
335,,,,,,,,,,,,,0.95,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-335,freyja_v1.4.3
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-350,freyja_v1.4.3
366,,,,,,,,,,,,,,,,0.48,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-366,freyja_v1.4.3
