timepoint,XBB.1.25,BA.2.75.6,B.1.177.71,B.11,B.6.3,XBB.1.6,XBB.1.29,XBB.1.26,XBB.1.18,XBB.1.13,XBB.2.8,XBB.8,XBB.9,XBB.2,XBB.1,XBB,JF.1,XBB.1.16.26,FU.4,FU.2,XBB.1.16.31,XBB.1.16.6,XBB.1.16.9,XBB.1.16.1,XBB.1.16.11,XBB.1.16.3,XBB.1.16.17,XBB.1.16.21,XBB.1.16.20,XBB.1.16,B.1.1.438,XBB.1.16.12,XBB.1.16.19,XDB,FU.1,XBB.1.17.2,XBB.1.17,XBB.1.15,XBB.1.7,XBB.2.5,B.1.1.216,BA.2.23,HH.7,JA.1,XBB.2.3.19,XBB.2.3.2,XBB.2.3.13,XBB.2.3.3,XBB.2.3.6,XBB.2.3.14,XBB.2.3,XBB.2.3.11,XBB.1.16.4,XBB.1.16.23,GE.1,JS.1,XBB.2.3.10,XBB.2.3.15,XBB.1.22.3,XBB.1.22,XBB.1.43,XBB.1.37,XBB.1.5,XBB.1.5.23,XBB.1.5.43,GJ.4,XBB.1.16.14,XBB.1.16.22,XBB.2.4,XBB.2.3.7,FW.2,XBB.1.28.1,XBB.2.6,XBB.1.28,XBB.2.7,XBB.1.30,XBB.1.35,XBB.1.9,GD.1,XBB.1.9.3,XBB.1.9.5,XBB.1.5.24,XBB.1.18.1,FW.1,XBB.1.38,XBB.1.39,XBB.1.44,GN.3,XBB.1.5.73,XBB.1.5.69,XBB.1.5.99,FG.3,XBB.1.5.75,XBB.1.5.100,XBB.1.5.86,XBB.1.5.67,XBB.1.5.107,XBB.1.5.16,XBB.1.5.97,XBB.1.5.93,XBB.1.5.92,XBB.1.5.4,XBB.1.5.31,XBB.1.5.30,XBB.1.5.52,XBB.1.5.12,B.1.379,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.24,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-1,freyja_v2.0.0
16,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,0.07,,0.07,0.07,,0.07,,,,,,0.07,0.07,,0.07,,0.07,,,,,,,,0.07,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-16,freyja_v2.0.0
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-31,freyja_v2.0.0
46,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-46,freyja_v2.0.0
61,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-61,freyja_v2.0.0
77,,,,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-77,freyja_v2.0.0
92,0.81,0.15,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-92,freyja_v2.0.0
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.03,,,,,,,,,,,,,0.09,,,0.09,,0.03,,,,,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,freyja_v2.0.0-107,freyja_v2.0.0
122,,,,,,,,,,0.1,0.1,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-122,freyja_v2.0.0
137,0.08,,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-137,freyja_v2.0.0
