timepoint,D.4,XBB.1.5.31,XBB.1.5.2,XBB.1.5.18,XBB.1.5.3,XBB.1.5.26,XBB.1.5.55,XBB.1.5.66,XBB.1.5.7,XBB.1.5.14,FW.2,FW.1,XBB.1.23,XBB.1.9,XBB.1.11.1,XBB.1.5.35,XBB.1.5.62,XBB.1.5.1,XBB.1.5.43,XBB.1.16,XBB.1.17.1,XBB.1.6,XBB.1.5.68,XBB.1.5.59,XBB.1.5.52,XBB.1.5.11,XBB.1.5.40,XBB.1.5.36,XBB.1.5.16,XBB.1.5.28,XBB.1.36,XBB.1.5,XBB.1.32,XBB.1.18,XBB.1.13,XBB.1.38,XBB.1.3,XBB.2.7,XBB.2.5,XBB.2.4,XBB.2.8,XBB.9,XBB.6,XBB.4,XBB.8,XBB.2,XBB.1,XBB,XBB.1.7,XBB.1.4,XBB.1.35,XBB.1.28,XBB.1.30,XBB.1.28.1,XBB.4.1,XBB.2.6,XBB.1.29,XBB.1.21,XBB.1.17,XBB.1.8,XBB.1.11,XBB.1.5.23,XBB.1.18.1,XBB.1.16.2,FE.1.1,FL.2.1,XBB.1.16.6,XBB.1.5.37,XBB.1.16.4,XBB.1.16.1,XBB.1.16.3,XBB.1.5.5,XBB.1.5.19,FD.4,XBB.1.5.46,XBB.1.5.42,XBB.1.5.27,FL.1.3,FL.1.2,FL.1.1,FH.1,FD.2,FL.1,XBB.1.16.5,FU.1,XBB.1.5.45,XBB.1.5.20,XBB.1.5.48,XBB.1.5.6,XBB.1.5.4,EL.1,FE.1,XCC,XBB.1.9.1,GA.1,FG.2,FG.3,XBB.1.5.54,XBB.1.5.38,XBB.1.5.10,XBB.1.5.51,EM.1,GA.3,GA.2,XBB.1.5.15,XBB.1.5.49,XBB.1.5.39,XBB.1.5.61,XBB.1.5.56,XBB.1.5.17,FL.2,XBB.1.5.9,XBB.1.5.60,FL.12,FL.5,FL.6,FL.8,XBB.1.5.24,XAE,BA.2.19,BA.2.16,BA.2.23,B.1.177.71,XBB.1.37,XBB.7,XBB.5,XBB.3.5,XBB.3,XBB.1.10,XBB.2.2,XBB.1.4.1,XBB.2.1,XBB.1.39,XBB.1.15,XBB.1.1,XBB.1.12,XBB.3.4,XBB.3.1,XBN,BA.3.1,BA.3,B.11,BJ.1,XBB.1.5.64,XBB.1.5.21,XBB.1.5.58,EU.1,FE.1.2,EU.1.1,XBB.1.5.67,XBB.1.5.47,XBB.1.9.5,XBB.2.3.7,XBB.2.3.6,XBB.2.3.3,XBB.2.3.11,XBB.2.3.4,XBB.2.3.9,XBB.1.5.22,XBB.2.3,XBB.1.5.25,EK.2.1,XBB.2.3.5,XBB.2.3.2,FL.7,FL.10,XAQ,XM,B.1.574,AY.20,XBB.1.14,FL.9,FU.2,EG.2,XBB.2.3.1,XBB.2.3.10,GE.1,XU,B.1.1.529,DJ.1.2,B.6.6,B.1.620,BE.13,FZ.1,FZ.1.1,FT.1,XBB.1.5.32,XAL,XP,XG,XAA,XW,XL,XQ,XAU,XR,XAF,XAB,XAG,XAM,XE,XJ,XV,XBB.1.5.41,others,sample_name,tool_name
1,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,freyja_v1.4.3-1,freyja_v1.4.3
16,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,0.01,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,0.01,,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,,,,0.01,0.01,0.01,0.01,,,,,,,,,0.01,0.01,0.01,0.01,,0.01,,,,,0.01,,,,,0.01,0.01,,0.01,,,,,,0.01,,,,,0.01,0.01,,,,,,,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,,0.01,0.01,,,,,0.01,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,0.02,0.01,0.01,,0.01,,0.01,,0.01,,,0.01,0.01,0.01,0.01,,0.01,0.01,,,0.01,0.01,,,,,,,,,,,,0.01,0.01,,,,,,,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-16,freyja_v1.4.3
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.39,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-31,freyja_v1.4.3
46,,,,,,,,,,,0.02,0.02,,,,,,,,,,0.02,,,,,,,,,0.02,,,0.02,0.02,0.02,,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-46,freyja_v1.4.3
61,,,,,,,,,,,,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,0.05,0.05,0.05,,,0.05,,,,,,,,,,0.05,0.05,,,,,,,,,,,,,,,,,0.05,,,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.05,0.05,,,,,,0.05,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-61,freyja_v1.4.3
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-77,freyja_v1.4.3
92,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,freyja_v1.4.3-92,freyja_v1.4.3
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-107,freyja_v1.4.3
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-122,freyja_v1.4.3
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,freyja_v1.4.3-137,freyja_v1.4.3
