timepoint,D.4,XBB.4.1,XBB.2.6.3,FP.3,FW.3,HS.1,FL.5,XBB.1.5.81,FL.13,XBB.1.5.85,FL.6,FL.27,FL.25,FL.21,FY.5,XBB.1.45,XBB.1.9.1,GG.1,FL.8,XBB.8,XBB.2.8,XBB.2.5,XBB.2.7,FW.1,XBB.1.11,XBB.1.29,XBB.1.44,XBB.1.17,XBB.1.46,XBB.1.35,XBB.1.32,XBB.1.30,XBB.1.2,XBB.1.28.1,XDB,FU.1.1,FU.3.1,FU.4,GY.4,GY.2,GY.5,XBB.1.16.26,GY.3,XBB.6,GY.9,GY.2.1,XBB.1.43,XBB.1.7,XBB.2.1,XBB.1.16.28,XBB,XBB.1,XBB.2,XBB.9,XBB.4,GY.8,XBB.1.5.28,XBB.1.5.87,HY.1,XBB.1.27,XBB.1.13.1,XBB.1.36,XBB.1.6,XBB.1.9,XBB.1.23,FW.2,XBB.1.5.45,FL.2.2.1,FL.1.4,FL.1.6,FL.1.3,FL.1.7,XCQ,FY.5.2,FL.13.5,FL.13.4,FL.13.3.1,FL.28,FL.30.1,FL.2.4,FL.2.7.1,FL.2.2,FL.1.2,FL.1.1,FL.5.1,XCC,FL.24,XBB.1.16.8,XBB.1.16.5,XBB.1.16.24,XBB.1.16.29,XBB.1.16.13,FU.1,FU.3,XBB.1.8,XBB.1.38.1,XBB.1.16,XBB.1.16.25,XBB.1.16.2,XBB.1.40,XBB.2.12,XBB.2.6,XBB.1.28,XBB.1.4,XBB.1.18,XBB.1.38,FL.1.8,XBB.1.16.19,XBB.1.16.20,XBB.1.16.21,XBB.1.16.10,XBB.1.16.23,XBB.1.16.17,XBB.1.16.9,XBB.1.16.11,XBB.1.16.22,XBB.1.16.1,XBB.1.16.4,FL.24.1,XBB.1.13,XBB.1.16.14,XBB.1.16.3,XBB.1.5.27,FL.33.1,FL.13.3,FL.21.1,FL.35.1,FL.13.1,FL.2.5,FL.2.1,FL.2.3,FL.4.8,FP.2.1,FL.35,FL.34,FL.40,FL.12,FL.2,FL.33,FL.18,FL.22,FL.2.7,HP.1.1,KM.1,FL.14,FL.30,FL.2.6,FL.1,XBB.1.42.1,FL.19,FY.1.4,XBB.1.9.7,XAE,BA.2.19,BA.2.87,BA.2.16,BA.2.23,XBB.1.31.2,XBB.1.31,XBB.1.12.1,XBB.2.2,XBN,XBB.7,XBB.1.47,XBB.2.10,XBB.1.4.1,XBB.2.6.2,XBB.3.1,XBB.3.4,XBB.1.39,XBB.1.1,XBB.1.12,XBB.3.5,XBB.5,XBB.1.10,XBB.1.15,XBB.1.37,XBB.3,B.1.177.70,B.1.177.71,BA.3,BA.3.1,B.11,XBB.1.9.5,BJ.1,FL.39,FT.3.1,FL.7,FL.10,GY.1,GY.7,GS.4.1.1,FU.1.1.1,GJ.6,GS.1,GS.7,HH.5,GM.1,GJ.5,GS.4,HH.7,XBB.2.3.9,GJ.4,GJ.3,GM.3,GM.2,XBB.2.3.8,GS.3,GS.5,GS.2,XBB.2.3.18,GJ.1,JY.1,GY.6,XBB.1.16.12,GM.3.1,XBB.1.16.32,XBB.1.16.16,GS.4.1,EK.2.1,FT.3.1.1,XBB.2.3.14,XBB.2.3.6,XBB.2.3.3,XBB.2.3.15,XBB.2.3.4,XBB.2.3.13,XBB.2.3.7,XBB.2.3.12,XBB.2.3.11,FL.29,XBB.2.3.2,XBB.2.3.19,XBB.2.3.5,XBB.2.3.20,JS.1,JS.2,GZ.1,XBB.2.3.22,JA.1,FL.13.2,FL.10.1,GJ.7,JU.1,XAQ,XM,B.1.574,JM.1,HN.3,HN.1,HN.6,XBB.1.16.15,FL.13.4.1,HN.5,FL.1.5.2,XCW,HH.1.1,XBB.1.16.31,FU.2,GJ.1.1,FL.1.5.1,HH.1,HG.3,HG.1.1,HG.2,XBB.2.3.21,GE.1.1,GE.1.6,HH.2,HH.3,HG.1,XBB.1.16.18,FL.1.1.1,HH.4,FL.1.5,XBB.2.3.1,FY.5.5,FL.21.2,EG.2.5,GE.1,XBB.2.3.16,XBB.2.3.10,FL.10.3,FL.9,EG.2,FL.37,HN.2.1,HN.8,HN.2,P.5,KT.1.1,KT.1.2,KT.1,GE.1.2.1,HH.2.1,GE.1.2,GE.1.5,GE.1.4,GE.1.3,B.1.620,HN.7,B.1.417,BE.13,GA.6.1,GV.1,GJ.5.1,JY.1.1,XBB.2.3.17,JM.2,XBB.1.16.27,XCM,GE.1.2.2,GS.7.1,EG.2.2,EG.4.5,XAL,XV,XJ,XE,XAF,XW,XAU,XL,XAM,XR,XAR,XU,XQ,XAG,XAB,XAA,XG,XP,HR.1.1,FL.31.1,FL.18.1.1,HR.1,,others,sample_name,tool_name
1,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,freyja_v2.0.0-1,freyja_v2.0.0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja_v2.0.0-16,freyja_v2.0.0
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.39,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-31,freyja_v2.0.0
46,,0.01,0.01,,0.01,,,,,,,,,,,0.01,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,0.01,,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,,,,0.02,0.01,0.01,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-46,freyja_v2.0.0
61,,,,,,,0.01,,0.01,,0.01,0.01,0.01,0.01,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,0.01,,,,,,,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,0.01,,,,,,,,,,,,0.01,,0.01,,,0.01,,,,,0.01,0.01,,0.01,0.01,0.01,0.01,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-61,freyja_v2.0.0
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.27,0.27,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-77,freyja_v2.0.0
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,freyja_v2.0.0-92,freyja_v2.0.0
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-107,freyja_v2.0.0
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v2.0.0-122,freyja_v2.0.0
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,freyja_v2.0.0-137,freyja_v2.0.0
