timepoint,B.1.1.7,B.1.160,B.1.177,B.1.351,others,sample_name,tool_name
1,,1.0,,,0.0,virpool_v763c212-1,virpool_v763c212
16,0.71,,,,0.29,virpool_v763c212-16,virpool_v763c212
31,0.58,,,,0.42,virpool_v763c212-31,virpool_v763c212
46,0.97,,0.03,,0.0,virpool_v763c212-46,virpool_v763c212
61,,,,,1.0,virpool_v763c212-61,virpool_v763c212
77,,,0.33,,0.67,virpool_v763c212-77,virpool_v763c212
92,,,,0.49,0.51,virpool_v763c212-92,virpool_v763c212
107,,,0.55,0.45,0.0,virpool_v763c212-107,virpool_v763c212
122,,,,1.0,0.0,virpool_v763c212-122,virpool_v763c212
137,,,,0.19,0.81,virpool_v763c212-137,virpool_v763c212
153,,,0.99,,0.01,virpool_v763c212-153,virpool_v763c212
168,0.32,,,,0.68,virpool_v763c212-168,virpool_v763c212
183,1.0,,,,0.0,virpool_v763c212-183,virpool_v763c212
198,,0.01,,0.99,0.0,virpool_v763c212-198,virpool_v763c212
213,,,1.0,,0.0,virpool_v763c212-213,virpool_v763c212
229,,,1.0,,0.0,virpool_v763c212-229,virpool_v763c212
244,,,,1.0,0.0,virpool_v763c212-244,virpool_v763c212
259,0.05,0.19,,,0.76,virpool_v763c212-259,virpool_v763c212
274,0.01,,0.99,,0.0,virpool_v763c212-274,virpool_v763c212
289,,,,0.38,0.62,virpool_v763c212-289,virpool_v763c212
305,0.74,,,,0.26,virpool_v763c212-305,virpool_v763c212
320,0.01,,0.99,,0.0,virpool_v763c212-320,virpool_v763c212
335,,0.18,,,0.82,virpool_v763c212-335,virpool_v763c212
350,,1.0,,,0.0,virpool_v763c212-350,virpool_v763c212
366,0.21,,0.79,,0.0,virpool_v763c212-366,virpool_v763c212
