timepoint,A.23.1,AV.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.177,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.427,B.1.525,P.1,B.1.526,B.1.617.1,C.37,P.3,P.2,others,sample_name,tool_name
1,,,,0.1,0.1,0.1,0.1,0.1,,,0.1,,0.1,,,,0.1,0.1,,,0.06,lcs_vcfc2f02-1,lcs_vcfc2f02
107,,,,,0.09,,0.09,,0.03,,0.26,,,0.02,,0.43,,,,,0.07,lcs_vcfc2f02-107,lcs_vcfc2f02
122,,0.46,,0.15,0.15,,,,,0.01,,,,,0.05,,,,,0.15,0.04,lcs_vcfc2f02-122,lcs_vcfc2f02
137,0.02,0.58,0.38,,,,,,,,,,,,,,,,,,0.02,lcs_vcfc2f02-137,lcs_vcfc2f02
153,,,0.39,,,,,,,,,0.28,,,,,,0.33,,,0.0,lcs_vcfc2f02-153,lcs_vcfc2f02
16,0.04,,0.01,0.08,0.08,0.08,,0.08,,,0.08,0.08,0.08,,0.08,0.08,,0.17,,,0.05,lcs_vcfc2f02-16,lcs_vcfc2f02
168,,,,,,,,,,,,0.24,,,0.5,,,0.18,0.07,,0.01,lcs_vcfc2f02-168,lcs_vcfc2f02
183,,0.79,,,0.12,,,,,,,,,,0.06,,,0.01,,,0.03,lcs_vcfc2f02-183,lcs_vcfc2f02
198,,0.02,,,0.95,,,0.02,,,,,,,,,,,,,0.01,lcs_vcfc2f02-198,lcs_vcfc2f02
213,,0.97,,,,,,,,,,,,,,,,,,,0.03,lcs_vcfc2f02-213,lcs_vcfc2f02
229,0.09,,,0.09,0.09,0.09,0.09,,,,0.09,,0.09,,,0.09,,0.09,0.09,0.09,0.05,lcs_vcfc2f02-229,lcs_vcfc2f02
244,,,,0.21,,,,,,,,,,,,,,0.66,,,0.14,lcs_vcfc2f02-244,lcs_vcfc2f02
259,0.01,,,,0.15,0.15,0.16,0.16,,,,0.16,,,,,,0.16,0.03,,0.01,lcs_vcfc2f02-259,lcs_vcfc2f02
274,,0.48,,,0.5,,,,,0.02,,,,,,,,,,,0.01,lcs_vcfc2f02-274,lcs_vcfc2f02
289,,,,,,,,,0.01,,,,,0.01,,,,,0.06,0.91,0.0,lcs_vcfc2f02-289,lcs_vcfc2f02
305,0.19,0.13,,0.19,0.19,,,,,,,0.16,,,,,,0.01,,,0.11,lcs_vcfc2f02-305,lcs_vcfc2f02
31,0.02,,0.02,,0.94,,,,,0.01,,,,,,,,,,,0.01,lcs_vcfc2f02-31,lcs_vcfc2f02
320,,0.61,,,,,,,,0.01,,0.05,,,0.02,,,0.3,,,0.01,lcs_vcfc2f02-320,lcs_vcfc2f02
335,,0.54,0.23,,,,,,,,,,,,,,,0.23,,,0.0,lcs_vcfc2f02-335,lcs_vcfc2f02
350,0.01,,,0.11,0.11,,0.11,,,0.06,,,,,,0.49,,,0.02,,0.08,lcs_vcfc2f02-350,lcs_vcfc2f02
366,,0.44,,,,,,,,,,,,,,,,0.55,,,0.02,lcs_vcfc2f02-366,lcs_vcfc2f02
46,,0.11,,0.01,0.78,,,,,,,,,,,,,0.07,,,0.03,lcs_vcfc2f02-46,lcs_vcfc2f02
61,,,,0.16,0.16,,,,,,,0.53,0.01,,,,,,0.03,,0.1,lcs_vcfc2f02-61,lcs_vcfc2f02
77,,,,,0.43,,,,,,,,,,,,,0.18,0.04,,0.35,lcs_vcfc2f02-77,lcs_vcfc2f02
92,,,,,0.87,,,,,0.02,,,,,0.06,,0.01,,,,0.03,lcs_vcfc2f02-92,lcs_vcfc2f02
