timepoint,BA.2.19,B.1.1.529,FL.4,CH.1.1.28,BM.2.1,BW.1.1.1,BR.5,XBB.4,BQ.1.1.47,BE.7,XBB,BL.1.4,BA.5.1.18,BA.2.9.7,BA.2.78,BA.1.18,BA.1.10,A.30,FY.3,FY.4,FL.6,XBB.2.3.4,XBB.1.28,XBB.1.16.5,FE.1.2,FY.2,XBB.1.16.1,XBB.1.25,XBB.1.22.2,CM.8.1.1,EK.4,EA.1,XBB.1.33,XBB.1.5.12,CH.1.1.23,XBB.1.5.16,XBB.1.5,XBB.1.38,BA.5.2.10,BA.2.81,BA.5.1.16,B.1.618,BA.5.1.4,XBB.1.5.6,CM.8.1.2,BN.1.4.3,BA.5.1.38,CP.5,BE.4.2,BF.11.4,BQ.1.2.1,B.1.36.22,CP.1.1,B.1.1.431,BA.4.6.4,BA.2.75.10,BF.23,BA.5.3,Q.6,BA.2.9.1,XG,BA.2.16,BA.5.1.7,BF.14,B.1.1.46,BK.1,P.3,XBB.2.3.5,XBB.2.3.11,XBB.1.5.10,XBB.3.4,FV.1,XBL.1,XBB.1.19.1,XBB.1.5.40,XBB.1.7,EP.2,BA.5.2.63,CM.5.1,B.1.491,B.1.1.525,B.61,BF.21,P.1.2,XAR,XBB.2.2,XBB.1.4.1,BQ.1.1.26,W.3,B.1.367,AY.132,BA.2.3.7,BA.1.16,AY.60,AY.131,AY.128,B.1.1.232,B.1.1.440,B.1.1.224,AK.2,EY.1,CM.5.2,XBB.8.1,BN.1.3.10,CR.1.3,N.2,BA.5.2.4,BF.24,CA.3,BA.2.23.1,FL.1.3,FL.11,FL.12,XBB.1.9.4,XBB.1.5.1,BA.5.10.1,BQ.1.1.67,BA.5.2.53,BA.2.60,AY.122.1,BA.2.47,BA.2.39,B.1.597,B.1.499,XBB.2.7.1,XBB.1.5.23,FL.9,EG.1.1,CM.8.1.4,BF.41.1,BA.2.28,DF.1.1,BA.4.6.2,XBB.3,BQ.1.17,BF.7.24,BV.1,BA.2.17,BA.2.67,BA.1.1.14,BA.2.25,BF.7.13,XBB.1.31,XBB.1.5.50,XBB.1.36,FY.1,XBB.1.5.69,EG.4,XBF.1.1,XBB.1.5.54,XBB.1.5.62,BQ.1.1.64,XBT,XBB.1.19,XBB.1.5.63,BN.1.10,BN.1.2.6,BA.2.74,BA.5.5.2,XBB.2.5,XBB.1.24.1,XBB.1.16.2,XBB.2.3.3,FL.1.1,EK.2,FL.10,XBB.1.32,BQ.1.1.41,BQ.1.1.21,BA.2.57,BA.3.1,CN.2,XBB.1.35,BA.5.1.25,BE.3,BN.1.3.5,XBB.1.29,CU.1,AY.34,AY.118,AY.4.2,AY.119,B.1.280,XBB.1.5.3,EG.1.3,BY.1.1,FD.4,DV.6,AY.43.4,BN.1.2.3,BY.1.1.1,XAB,BA.2.10.1,B.1.1.422,B.1.1,XBB.1.5.42,EU.1.1,FL.2.1,XBB.6.1,XBB.2.3.2,FT.1,FE.1,XBB.1.17.1,XBB.1.9.2,XBB.1.18,XBB.1.3,BA.5.2.62,BA.2.3.6,B.1.1.430,B.1.1.301,B.1.1.435,B.1.177.83,B.1.1.58,FU.1,XBB.1.16,XBB.2.3.9,B.1.1.31,BA.1.1.18,B.1.640.2,N.9,BA.1.24,AY.71,BA.1.1.3,EL.1,XBB.2.3.7,BA.1.3,XBB.2.1,XBB.1.34,XBB.1.5.38,DL.1,BA.5.2.41,BA.5,BA.4.1.1,BA.5.2.44,XBB.1.14,BQ.1.1.23,BL.3,AY.122.2,B.1.428.2,B.1.1.10,B.1.160.8,AB.1,FU.2,AY.24,XA,XBB.2.3.10,XBB.1.5.67,B.1.78,BF.7.5.1,B.1.415.1,B.1.1.12,EG.5,XBB.1.5.14,Y.1,B.1.523,XBB.1.5.36,CH.1.1.6,others,sample_name,tool_name
1,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,0.02,,0.01,0.03,0.02,0.01,0.02,,0.03,0.02,0.06,0.01,0.02,0.03,0.01,0.02,0.01,0.03,,0.02,0.02,,0.09,0.02,,0.04,,,0.15,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-1,vlq_vd04ad36
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.55,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.03,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,0.21,,,,,,,0.01,0.03,0.02,0.02,,0.02,,,,0.02,0.02,,0.01,,0.01,,,,0.03,0.02,,0.01,,0.01,0.02,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,,,,,0.01,,,,0.02,,,,,,,,,,0.04,,,0.04,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,0.03,,0.01,,,,,,0.02,,,,0.03,,,,,0.03,,,,,0.03,0.1,0.02,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,,0.02,0.01,0.01,0.01,0.01,0.32,vlq_vd04ad36-137,vlq_vd04ad36
153,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.04,0.02,,,,,,,,,,,0.02,,,0.03,,0.04,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.01,0.37,,,,,,0.04,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,,,,,0.02,,0.01,,,,,,,,,,,0.03,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.01,0.25,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,0.01,0.01,0.03,0.03,0.02,,0.03,0.03,,,,0.03,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.16,,0.02,0.11,,,0.15,,,,0.03,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.03,0.03,,,,,0.02,,0.01,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-183,vlq_vd04ad36
198,,0.01,,,,,,,,,,,,0.01,,,,,,,,,0.03,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,0.07,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.17,,,,,,,,,,,,0.34,vlq_vd04ad36-198,vlq_vd04ad36
213,0.01,,,,,,,,0.07,,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.03,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,0.14,,,,,,0.11,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.07,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,0.1,vlq_vd04ad36-213,vlq_vd04ad36
