timepoint,XV,B.11,B.1.1.284,XW,XN,XAS,XAA,BA.4,BA.2.44,BA.4.8,XAU,XQ,FY.3,XBB.2.8,XBB.2.4,XBB.2.5,XAM,XBB.1.3,XBB.1.38,XBB.1.13,BA.4.2,XBB,XBB.1,XBB.2,XAB,BJ.1,BA.2.1,BA.2.23,BA.2.23.1,BA.2.16,BA.2.19,XBB.1.18,GA.2,EU.1.1,EU.1,XBB.1.18.1,FE.1,GA.1,XBB.1.5.57,XBB.1.16.5,FU.2,FU.1,XBB.1.22.1,FY.1,FY.2,FE.1.1,XBB.1.16.1,XBB.1.16.4,XBB.1.22,XBB.1.5.24,XBB.1.4,XBB.1.1,XBB.1.27,XBB.1.25,XBB.1.28.1,XBB.1.30,XBB.1.36,XBB.1.33,XBB.2.1,XBB.1.5.23,XBB.1.28,XBB.1.15,XBB.1.17,XBB.1.21,XBB.1.17.1,XBB.1.16,XBB.1.5.43,XBB.1.4.1,FW.1,FW.2,XBB.1.7,XBB.1.16.6,B.12,B.6.6,XBB.1.9,XBB.1.11.1,XBB.2.3.10,XBB.2.3.4,XBB.2.3.11,XBB.2.3.3,XBB.2.3.6,XBB.2.3.7,XBB.1.6,XBB.1.9.4,XBB.1.40,XBB.2.3,XBB.2.6,XBB.1.11,XBB.1.9.5,FL.2.1,FL.3.1,FL.3.2,XBB.1.16.2,XBB.1.16.3,FL.3.3,XBB.1.22.2,FL.3.4,GE.1,XBB.2.3.5,XBB.2.3.2,XBB.1.9.1,XCC,FL.11,FL.12,FL.5,FL.10,FL.6,FL.8,FL.2,FL.3,GA.3,B.1.1.529,BA.5.1.33,EQ.1,DF.1.1,BF.32,A.2.4,FY.4,FL.9,XBB.1.9.3,GD.1,XBB.2.3.1,B.1.1.405,XBB.2.3.9,BT.1,BT.2,BA.5.1.21,XG,XAG,XU,XR,XB,B.4.8,XF,XS,FL.7,FL.4,EG.5.1,FL.1.2,EG.5,EG.2,EG.4,FL.1.3,FL.1.1,XBB.1.9.2,FL.1,B.1.177.71,P.1.6,B.1.1.519,others,sample_name,tool_name
1,0.8,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-1,freyja_v1.4.3
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-16,freyja_v1.4.3
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,0.02,freyja_v1.4.3-31,freyja_v1.4.3
46,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,freyja_v1.4.3-46,freyja_v1.4.3
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,0.19,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-61,freyja_v1.4.3
77,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-77,freyja_v1.4.3
92,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,,,,0.02,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.02,,,,,0.02,0.02,0.02,0.02,,,,0.02,0.02,,,,0.02,0.02,,0.02,,0.02,,0.02,0.02,0.02,,0.05,,,,,,0.02,0.02,0.02,0.02,,,,,,,,,,,,,0.05,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,0.03,freyja_v1.4.3-92,freyja_v1.4.3
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,freyja_v1.4.3-107,freyja_v1.4.3
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-122,freyja_v1.4.3
137,,,,,,,,,,,,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,,,,,,,,0.02,0.02,,,0.02,0.02,0.02,0.02,,,,0.02,,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,,,,0.02,0.02,,,,,,,0.02,,0.02,,0.02,0.02,0.02,,0.02,0.02,,,0.02,,0.02,,,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.04,freyja_v1.4.3-137,freyja_v1.4.3
