timepoint,A.23.1,AV.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.177,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.427,P.1,B.1.526,B.1.617.1,C.37,P.3,P.2,others,sample_name,tool_name
1,,,,,0.94,,,,,0.05,,,,,,,,,,0.02,lcs_vcfc2f02-1,lcs_vcfc2f02
107,,,,0.14,0.14,0.14,0.14,,,0.04,,0.14,0.03,,0.14,,,,,0.09,lcs_vcfc2f02-107,lcs_vcfc2f02
122,,,,,0.89,,,,,,,,,0.01,,,0.09,,,0.01,lcs_vcfc2f02-122,lcs_vcfc2f02
137,,,,,0.41,0.02,,0.02,,,,,,,,,0.54,,,0.01,lcs_vcfc2f02-137,lcs_vcfc2f02
153,,,0.32,,,,,,,,,0.34,,,,,0.33,,,0.01,lcs_vcfc2f02-153,lcs_vcfc2f02
16,,0.04,,0.12,0.12,,,,,,0.12,,0.12,,,0.12,0.04,0.12,0.12,0.07,lcs_vcfc2f02-16,lcs_vcfc2f02
168,,,,0.32,0.32,,,,,,,,,,,,,0.33,,0.02,lcs_vcfc2f02-168,lcs_vcfc2f02
183,0.05,,,,,,,,,0.05,,0.87,,,,,0.02,,,0.01,lcs_vcfc2f02-183,lcs_vcfc2f02
198,,0.87,,,0.08,,,,,,,,,,,,,,,0.05,lcs_vcfc2f02-198,lcs_vcfc2f02
213,0.01,,,0.14,0.14,,,,,0.14,0.14,,,,0.14,,0.14,0.07,,0.08,lcs_vcfc2f02-213,lcs_vcfc2f02
229,,,,,0.57,,,,,0.05,,,,0.08,,,0.28,,,0.03,lcs_vcfc2f02-229,lcs_vcfc2f02
244,,,0.3,,,,,,,,,0.34,,,,,0.34,,,0.01,lcs_vcfc2f02-244,lcs_vcfc2f02
259,,0.12,,,,,,,0.12,,,,,0.72,,,,,,0.03,lcs_vcfc2f02-259,lcs_vcfc2f02
274,,,,,,,,,0.77,,,0.11,,,,,0.09,,0.01,0.01,lcs_vcfc2f02-274,lcs_vcfc2f02
289,0.06,,,0.2,0.2,,,,,0.03,,0.12,,,,,0.27,,,0.12,lcs_vcfc2f02-289,lcs_vcfc2f02
305,,,,,0.42,,0.43,0.03,,,,,,,,,0.09,,,0.03,lcs_vcfc2f02-305,lcs_vcfc2f02
31,,,,,,,,,0.05,,,0.94,,,,,,,,0.01,lcs_vcfc2f02-31,lcs_vcfc2f02
320,,0.22,,0.07,0.07,,,,,,0.07,0.45,,,,,0.03,,0.07,0.04,lcs_vcfc2f02-320,lcs_vcfc2f02
335,,,,0.15,0.15,,0.15,,,0.15,,,0.15,,,,0.17,,,0.09,lcs_vcfc2f02-335,lcs_vcfc2f02
350,,,,,,,,,,,,1.0,,,,,,,,0.0,lcs_vcfc2f02-350,lcs_vcfc2f02
366,,0.09,,,,,,,0.83,,,,,,,,,0.08,,0.0,lcs_vcfc2f02-366,lcs_vcfc2f02
46,,,,,0.91,,,,,,,,,,,,,0.06,,0.03,lcs_vcfc2f02-46,lcs_vcfc2f02
61,,,,0.28,0.68,,,0.02,,,0.01,,,,,,,,,0.01,lcs_vcfc2f02-61,lcs_vcfc2f02
77,,,,,0.55,,,,,,,,,,,0.02,0.38,,,0.05,lcs_vcfc2f02-77,lcs_vcfc2f02
92,0.06,,0.01,,0.89,,,,,0.02,,,,,,,,,,0.02,lcs_vcfc2f02-92,lcs_vcfc2f02
