timepoint,XAE,BN.1.2.1,BN.1.4,B.1.78,BH.1,XBB.2.3.11,FT.1,XBB.1.5.22,XBB.1.5.40,XBB.2.3.1,DV.3,BA.5.1.4,BA.2.19,BS.1.1,CH.1.1.25,FA.2,CM.8.1,BQ.1.13.1,BN.1.2.3,BQ.1.1.21,BN.3,BF.11.2,N.9,BR.1.2,B.1.208,DC.1,BA.5.6.4,BQ.1.1.3,BA.2.10.4,B.1.91,BA.1.20,BA.1.18,BA.2.41,XY,BA.1.1.4,BA.2.48,XAD,BA.2.9,BQ.1.28,B.1.463,BA.5.1.7,B.49,BK.1,P.1.14,B.1.466,B.1.1.243,B.1.1.434,B.1.1.148,C.17,B.1.221.4,B.1.1.219,B.1.177.56,M.2,XBB.2.3.8,XBB.3.4,FL.1.2,XBB.1.16.2,XBB.1.36,XBB.1.33,FN.1,EU.1,DY.3,BN.1.2.5,XBB.1.5.16,FA.1,XBB.1.5.52,ER.1.1,CH.1.1.6,CH.1.1.7,BA.2.38.1,CH.1.1.18,XBB.1.5.6,XBB.1.5.1,BN.1.1,XBB.1.4,BM.1.1.1,P.6,XBB.1.5.31,FY.3,XBB.1.5.44,XBB.1.5.10,XBB.1.28.1,FY.2,XBB.1.16.1,EG.2,XBB.1.5.69,EU.1.1.1,EG.4,XBB.1.5.2,XBB.1.5.54,GB.1,XBB.1.9.2,XBB.1.5.62,XBT,XBB.1.5.63,XBK.1,XBV,XBB.1.38,XAG,XBN,DL.1,CV.1,XBB,BA.5.2.62,BR.3,BM.4.1,B.1.36.22,B.1.1.431,BA.2.61,BF.23,B.1.617.2,BA.5.1.8,B.1.596.1,P.3,B.1.234,EV.1,XBL.1,FE.1,BQ.1.25.1,DY.2,XBB.1.9.4,BA.5.1.11,BA.5.1.1,XBB.2.2,BQ.1.10.3,XBB.1.9,BQ.1.1.26,CA.3,BA.5.3,BE.5,B.1.1.529,BB.1,B.1.526,FU.2,BF.27,BA.5.9,BM.2.1,CH.1.1.11,BN.1.4.5,BQ.1.25,BA.5.2.39,BN.1,BE.4.1,BA.4.6.4,BG.1,C.1.2,BA.2.62,XG,XBB.2.3.5,XBB.1.25,FD.1.1,XBB.1.7,EG.1.3,FK.1.2,XBB.8.1,DT.2,CH.1.1.12,XBB.1.18,EJ.2,B.1.398,CM.8.1.2,DM.1,BM.1.1.5,BA.5.1.38,BQ.1.1.67,BF.11.4,BQ.1.2.1,CP.1.1,BA.5.2.57,BA.2.75.10,Q.6,B.1.151,BA.2.9.1,BA.2.16,B.1.177.5,B.1.1.7,FV.1,BN.1.3.2,BN.1.3.10,XBF.7,BA.5.2.63,BA.2.80,AY.74,BW.1.1.1,XBB.8,BQ.1.1.11,BM.5,BM.3,XBB.6,BA.2.38.4,BA.1.1.16,B.1.1.253,A.30,B.1.1.61,B.1.160.25,B.1.596,B.1.160.28,FW.1,CJ.1.1,XBB.1.5.19,XBB.3.1,BN.1.3.4,CH.1.1.4,B.1.1.438,XBB.1.3,CH.1,AY.34,AY.119,XBB.1.24.1,FL.6,XBB.1.22.2,EU.1.1,DV.6,BN.1.3.5,BA.2.9.7,BA.2.13.1,BA.1.1.14,B.1.1.430,FL.2.1,FL.9,DV.4,FL.12,FL.10,B.1.1.31,BE.1.3,B.1.1.170,XBB.1.29,BA.5.2.32,AY.30,BA.1.1,BA.1.1.13,BA.5.2.11,B.1.160.11,XBB.2.3.6,EY.1,CN.2,ED.1,B.1.1.270,BA.2.40,BA.2.81,BF.22,BA.5.2.59,BF.4,AY.66,B.1.525,B.1.160.18,B.1.1.394,XBM,B.1.1.178,B.1.1.298,XBB.2.5,BE.7,BE.11,CQ.1,BF.13,BA.1,BA.2.57,BA.3.1,DT.1,XBB.1.35,BA.5.1.25,BE.3,FD.3,XBB.1.5.23,BN.1.3.7,CM.10,CK.2,BQ.1.23,BA.2.3.14,AY.4,BA.2.39,XBB.2.3.10,EK.3,CR.1.3,B.1.1.427,BQ.1.1.17,B.1.1.82,B.1.23,C.19,B.1.36.29,B.1.111,XBC.1.6,XBB.1.5.51,BF.20,BQ.1.33,AY.41,B.1.221.2,B.1.1.451,B.1.626,B.1.258.17,XBB.1.5.3,BQ.1.9,EF.1.1,B.1.227,BM.1,BA.1.19,AY.39.2,BA.2.8,AY.121.1,B.1.1.232,B.1.177.64,P.2,B.1.2,B.1.1.325,B.1.160.21,EE.5,BN.1.2,BA.2.60,BA.2.73,BA.2.20,B.1.439,P.1,B.1.160.30,XBC.1.1,B.1.332,CH.1.1.23,BE.1.4.2,BQ.1.3.1,BA.4.2,BA.2.3.10,AY.60,CM.6.1,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,,0.68,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,vlq_vd04ad36-1,vlq_vd04ad36
107,,,,0.2,,,,,,0.03,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,0.03,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.03,,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.02,0.02,0.02,0.01,0.03,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,,0.02,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.19,vlq_vd04ad36-122,vlq_vd04ad36
137,0.03,0.04,,0.01,,0.41,,0.03,0.41,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,0.65,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,0.02,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,0.06,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.02,0.03,,0.03,,0.01,0.03,0.01,,,0.01,0.01,0.01,0.01,,,0.02,0.01,0.02,,0.03,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,0.07,0.01,0.26,,,0.02,,,0.07,,,0.03,0.01,0.01,0.02,0.03,0.01,0.04,0.02,0.01,0.04,,0.04,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,,,,0.06,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.03,,,,,,,,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,0.1,,,0.16,,,0.01,,0.03,,,,,,0.04,0.03,,,,,,,,,,,,,,,0.05,,0.02,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,0.01,0.01,0.01,,0.02,0.02,0.01,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,0.09,,,,,,,0.02,,0.02,,,,,,,0.01,0.01,0.03,0.02,,,0.02,,,,,0.02,,,,0.01,,,,,,,,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,0.02,,0.03,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,0.02,,,,,,0.02,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.01,,,,0.01,,0.02,0.11,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-213,vlq_vd04ad36
