timepoint,FY.3,FY.1,XBB.1.29,XBB.1.25,XBB.1.9,XBB.1.23,XBB.1.16,XBB.1.9.4,XBB.1.9.3,XBB.1.22,XBB.1.16.3,XBB.1.16.1,XBB.1.16.4,FL.3.2,FL.3.1,FL.5,FU.2,FU.1,FL.3.4,FL.1,XBB.1.22.1,FL.3.3,FL.1.2,FL.12,FL.7,FL.10,XBB.1.9.1,GD.1,FL.3,FL.2,FL.6,B.1.177.85,B.1.177.43,XBB.1.16.6,XBB.1.16.2,XBB.1.16.5,XBB.3.1,XBB.3.4,XBB.1.19.1,XBB.8.1,XBB.4.1,XBB.2.3,XBB,XBB.1,XBB.2,XBB.8,XBB.4,XBB.3,XBB.2.8,XBB.2.4,XBB.2.5,XBB.2.7,XBB.3.5,XBB.5,XBB.7,XBB.1.19,XBB.2.3.5,XBB.2.3.2,GE.1,XBB.2.3.3,XBB.2.3.6,XBB.2.3.7,XBB.2.3.11,XBB.2.3.4,XBB.2.3.10,BM.1.1.1,B.1.1.438,A.29,EG.1.3,EG.1.1,XBB.1.9.5,XCC,XBB.1.9.2,EG.2,EG.5,FY.2,EG.1,EG.3,EG.5.1,EG.1.2,EG.1.4,B.1.471,XBB.3.3,XBB.2.1,XU,XBB.1.3,FL.9,FL.11,FL.4,EG.4,FL.1.1,XBB.1.22.2,XBB.2.3.9,XBB.2.2,XBB.1.34,BA.4.8,XW,BA.2.19,BA.2.16,P.1.8,FL.2.1,XAL,XV,XM,B.11,B.6.6,XL,XG,XAA,XR,XQ,XAG,B.1.634,FL.8,B.1.1.242,B.1.1.529,BA.3,B.1.635,XBN,P.2,B.1.177.71,B.1.620,others,sample_name,tool_name
1,,,,,0.05,,,,0.05,,,,,0.05,0.05,0.05,,,,0.05,,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.05,,0.05,,0.05,,,,,,,,,,0.05,,,,,0.02,,,,,,,,0.05,,,,,,,,0.02,0.0,freyja_v1.4.3-1,freyja_v1.4.3
16,0.03,0.03,,0.03,0.03,0.03,,0.03,,0.03,0.03,0.03,0.03,,0.03,0.03,,0.03,,0.03,0.03,0.03,,0.03,0.03,0.03,0.03,,0.03,0.03,0.03,,,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,0.03,,,,,,,,,,,0.03,0.03,,,0.03,0.03,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.02,,,0.0,freyja_v1.4.3-16,freyja_v1.4.3
31,0.05,0.05,,0.05,0.05,0.05,,,0.05,0.05,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-31,freyja_v1.4.3
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-46,freyja_v1.4.3
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja_v1.4.3-61,freyja_v1.4.3
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.24,0.24,0.24,0.02,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-77,freyja_v1.4.3
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-92,freyja_v1.4.3
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-107,freyja_v1.4.3
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-122,freyja_v1.4.3
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-137,freyja_v1.4.3
